year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,4,spatial_coverage,1000,4,585,1000,12,0.093,5.825
2005,4,historical_density,5000,0,507,1916,12,1.0,327.507
2005,4,random,5000,0,760,3827,12,0.1136,6.1948
2005,4,spatial_coverage,5000,0,815,5000,12,0.0934,7.736
2005,4,historical_density,5000,1,503,1908,12,1.0,326.326
2005,4,random,5000,1,768,3797,12,0.1106,9.96
2005,4,spatial_coverage,5000,1,815,5000,12,0.0964,8.6254
2005,4,historical_density,5000,2,491,1883,12,1.0,324.5078
2005,4,random,5000,2,766,3788,12,0.1144,7.836
2005,4,spatial_coverage,5000,2,815,5000,12,0.0978,8.191
2005,4,historical_density,5000,3,499,1876,12,1.0,325.4588
2005,4,random,5000,3,766,3810,12,0.1116,7.5248
2005,4,spatial_coverage,5000,3,815,5000,12,0.1012,8.3194
2005,4,historical_density,5000,4,498,1924,12,1.0,322.604
2005,4,random,5000,4,776,3785,12,0.1142,7.0352
2005,4,spatial_coverage,5000,4,815,5000,12,0.096,7.725
