year,spatial_fold,strategy,budget,seed,months_covered,month_count_cv,mean_abs_equal_deviation_pp,max_abs_equal_deviation_pp,max_abs_candidate_deviation_pp
2005,0,historical_density,1000,3,12,0.16397560794215707,1.1333333333333333,2.2666666666666666,2.2666666666666666
2005,0,historical_density,5000,3,12,0.14945447467372797,0.9677777777777776,2.8466666666666667,2.8466666666666667
2005,0,spatial_coverage,1000,3,12,0.10115334893121433,0.6833333333333332,1.7333333333333325,1.7333333333333325
2005,0,spatial_coverage,5000,3,12,0.023866294224282072,0.1544444444444448,0.45333333333333337,0.45333333333333337
2005,0,random,1000,4,12,0.14535473848485297,0.961111111111111,2.333333333333333,2.333333333333333
2005,0,random,5000,4,12,0.03328903723450109,0.1911111111111111,0.6466666666666676,0.6466666666666676
2005,0,historical_density,1000,4,12,0.179019552004802,1.1611111111111112,3.633333333333333,3.633333333333333
2005,0,historical_density,5000,4,12,0.1435470654524153,0.9444444444444444,2.7666666666666675,2.7666666666666675
2005,0,spatial_coverage,1000,4,12,0.13693794214898952,0.8333333333333334,2.733333333333333,2.733333333333333
2005,0,spatial_coverage,5000,4,12,0.02333752343330371,0.15444444444444466,0.4333333333333328,0.4333333333333328
2005,0,random,1000,5,12,0.09752948272189287,0.7277777777777776,1.5333333333333323,1.5333333333333323
2005,0,random,5000,5,12,0.04396362132490908,0.3233333333333335,0.6466666666666676,0.6466666666666676
2005,0,historical_density,1000,5,12,0.23896443249990157,1.5777777777777775,4.333333333333333,4.333333333333333
2005,0,historical_density,5000,5,12,0.1770541160210629,1.102222222222222,3.3066666666666675,3.3066666666666675
2005,0,spatial_coverage,1000,5,12,0.062417946137308944,0.4277777777777777,0.9333333333333332,0.9333333333333332
2005,0,spatial_coverage,5000,5,12,0.02986904752415115,0.2311111111111111,0.4333333333333328,0.4333333333333328
2005,0,random,1000,6,12,0.0914330356052997,0.7,1.2333333333333334,1.2333333333333334
2005,0,random,5000,6,12,0.03009318859808644,0.17666666666666664,0.6666666666666667,0.6666666666666667
2005,0,historical_density,1000,6,12,0.12309346042743295,0.9333333333333335,1.6333333333333324,1.6333333333333324
2005,0,historical_density,5000,6,12,0.13187023925056024,0.9000000000000001,2.366666666666667,2.366666666666667
2005,0,spatial_coverage,1000,6,12,0.1081480466767662,0.7055555555555555,1.6333333333333324,1.6333333333333324
2005,0,spatial_coverage,5000,6,12,0.03975525122546705,0.2911111111111109,0.626666666666667,0.626666666666667
2005,0,random,1000,7,12,0.12162236636408619,0.8499999999999999,2.233333333333333,2.233333333333333
2005,0,random,5000,7,12,0.038128204783335916,0.21666666666666662,0.8733333333333329,0.8733333333333329
2005,0,historical_density,1000,7,12,0.1964077391550547,1.322222222222222,3.1333333333333333,3.1333333333333333
2005,0,historical_density,5000,7,12,0.1693101296437989,1.0177777777777774,3.386666666666667,3.386666666666667
2005,0,spatial_coverage,1000,7,12,0.09465727652959387,0.6499999999999998,1.4666666666666675,1.4666666666666675
2005,0,spatial_coverage,5000,7,12,0.023026940743398807,0.17666666666666664,0.3333333333333327,0.3333333333333327
2005,0,random,1000,8,12,0.10079682534683321,0.672222222222222,1.6666666666666676,1.6666666666666676
2005,0,random,5000,8,12,0.04800333321760063,0.3022222222222221,0.7933333333333334,0.7933333333333334
2005,0,historical_density,1000,8,12,0.2026030601940652,1.3388888888888888,3.0666666666666673,3.0666666666666673
2005,0,historical_density,5000,8,12,0.16606408401577988,1.102222222222222,2.866666666666667,2.866666666666667
2005,0,spatial_coverage,1000,8,12,0.10055844071981228,0.6388888888888891,1.9333333333333327,1.9333333333333327
2005,0,spatial_coverage,5000,8,12,0.030583655765784444,0.20333333333333328,0.5533333333333335,0.5533333333333335
2005,0,random,1000,9,12,0.13867948658687776,0.8944444444444444,2.2666666666666666,2.2666666666666666
2005,0,random,5000,9,12,0.03815337468691334,0.2611111111111113,0.5533333333333335,0.5533333333333335
2005,0,historical_density,1000,9,12,0.11196428001822724,0.8444444444444443,1.6333333333333324,1.6333333333333324
2005,0,historical_density,5000,9,12,0.1588307275057317,1.0344444444444445,2.806666666666667,2.806666666666667
2005,0,spatial_coverage,1000,9,12,0.12626955294131678,0.8888888888888887,2.166666666666667,2.166666666666667
