year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,1,spatial_coverage,1000,16,590,1000,12,0.11,7.67
2005,1,historical_density,1000,17,316,656,12,1.0,722.355
2005,1,random,1000,17,529,938,12,0.12,11.576
2005,1,spatial_coverage,1000,17,590,1000,12,0.108,11.076
2005,1,historical_density,1000,18,316,669,12,1.0,685.555
2005,1,random,1000,18,546,949,12,0.104,6.311
2005,1,spatial_coverage,1000,18,592,1000,12,0.124,12.75
2005,1,historical_density,1000,19,306,660,12,1.0,723.439
2005,1,random,1000,19,555,948,12,0.112,5.964
2005,1,spatial_coverage,1000,19,595,1000,12,0.109,9.351
2005,1,historical_density,5000,0,507,1859,12,1.0,385.4122
2005,1,random,5000,0,784,3813,12,0.121,11.6946
2005,1,spatial_coverage,5000,0,826,5000,12,0.095,9.4208
2005,1,historical_density,5000,1,505,1889,12,1.0,380.8074
2005,1,random,5000,1,783,3815,12,0.1244,8.6298
2005,1,spatial_coverage,5000,1,826,5000,12,0.1044,10.6856
2005,1,historical_density,5000,2,506,1857,12,1.0,388.5376
2005,1,random,5000,2,796,3827,12,0.1172,7.8388
2005,1,spatial_coverage,5000,2,826,5000,12,0.1014,9.4246
2005,1,historical_density,5000,3,494,1883,12,1.0,386.3396
2005,1,random,5000,3,791,3848,12,0.1052,9.0166
2005,1,spatial_coverage,5000,3,826,5000,12,0.1076,9.766
2005,1,historical_density,5000,4,518,1902,12,1.0,382.4514
2005,1,random,5000,4,786,3797,12,0.1244,9.959
2005,1,spatial_coverage,5000,4,826,5000,12,0.1032,9.1298
2005,1,historical_density,5000,5,503,1878,12,1.0,385.551
2005,1,random,5000,5,780,3798,12,0.1094,9.0164
2005,1,spatial_coverage,5000,5,826,5000,12,0.0984,11.2116
2005,1,historical_density,5000,6,512,1920,12,1.0,382.6222
2005,1,random,5000,6,788,3862,12,0.1088,9.1212
2005,1,spatial_coverage,5000,6,826,5000,12,0.1086,9.5988
2005,1,historical_density,5000,7,504,1874,12,1.0,386.4252
2005,1,random,5000,7,787,3826,12,0.1236,12.028
2005,1,spatial_coverage,5000,7,825,5000,12,0.0974,9.872
2005,1,historical_density,5000,8,504,1889,12,1.0,385.8246
2005,1,random,5000,8,788,3799,12,0.1142,10.5664
2005,1,spatial_coverage,5000,8,826,5000,12,0.1092,8.7696
2005,1,historical_density,5000,9,511,1870,12,1.0,382.8162
2005,1,random,5000,9,782,3793,12,0.121,8.2846
2005,1,spatial_coverage,5000,9,826,5000,12,0.1036,11.2624
2005,1,historical_density,5000,10,514,1911,12,1.0,387.9306
2005,1,random,5000,10,785,3798,12,0.1184,6.6292
2005,1,spatial_coverage,5000,10,825,5000,12,0.0984,8.2172
2005,1,historical_density,5000,11,504,1903,12,1.0,381.1576
2005,1,random,5000,11,789,3812,12,0.122,7.621
2005,1,spatial_coverage,5000,11,826,5000,12,0.1064,11.9568
2005,1,historical_density,5000,12,502,1897,12,1.0,383.2848
2005,1,random,5000,12,791,3843,12,0.1136,8.1498
2005,1,spatial_coverage,5000,12,826,5000,12,0.1054,10.688
2005,1,historical_density,5000,13,509,1875,12,1.0,382.0712
2005,1,random,5000,13,793,3826,12,0.1106,11.3404
2005,1,spatial_coverage,5000,13,826,5000,12,0.1074,10.4754
2005,1,historical_density,5000,14,516,1897,12,1.0,386.5206
2005,1,random,5000,14,784,3825,12,0.1106,8.4852
2005,1,spatial_coverage,5000,14,826,5000,12,0.1014,10.1002
2005,1,historical_density,5000,15,504,1864,12,1.0,388.085
2005,1,random,5000,15,798,3853,12,0.1156,10.6222
2005,1,spatial_coverage,5000,15,826,5000,12,0.1024,8.2306
2005,1,historical_density,5000,16,517,1897,12,1.0,381.958
2005,1,random,5000,16,783,3860,12,0.1154,8.0334
2005,1,spatial_coverage,5000,16,825,5000,12,0.105,10.6892
2005,1,historical_density,5000,17,499,1880,12,1.0,382.4196
2005,1,random,5000,17,790,3834,12,0.1172,9.8732
2005,1,spatial_coverage,5000,17,826,5000,12,0.1048,8.4076
2005,1,historical_density,5000,18,509,1879,12,1.0,385.037
2005,1,random,5000,18,790,3828,12,0.1124,8.1288
2005,1,spatial_coverage,5000,18,824,5000,12,0.098,9.5826
2005,1,historical_density,5000,19,507,1875,12,1.0,381.5352
2005,1,random,5000,19,787,3866,12,0.1152,7.0686
2005,1,spatial_coverage,5000,19,826,5000,12,0.0958,10.02
2005,2,historical_density,1000,0,323,669,12,1.0,676.183
2005,2,random,1000,0,551,942,12,0.121,5.681
2005,2,spatial_coverage,1000,0,589,1000,12,0.097,11.7
2005,2,historical_density,1000,1,331,679,12,1.0,674.354
2005,2,random,1000,1,558,956,12,0.121,7.683
2005,2,spatial_coverage,1000,1,582,1000,12,0.095,18.695
2005,2,historical_density,1000,2,330,688,12,1.0,664.107
