regime,strategy,budget_fraction,n_development,n_train,n_test,rmse,mae,bias,seed
spatial_fold_3,random,0.2,43418,8684,5954,26.53705647831147,17.763811695552373,1.299095742846439,16
spatial_fold_3,coverage,0.2,43418,8684,5954,26.0607727267082,17.56788968097309,1.7024987601338717,17
spatial_fold_3,random,0.2,43418,8684,5954,26.79451915627783,17.732480522377415,1.697012198229196,17
spatial_fold_3,coverage,0.2,43418,8684,5954,25.96595132424916,17.644928810787825,2.387109341665913,18
spatial_fold_3,random,0.2,43418,8684,5954,26.81191798806907,18.12095447200733,1.7372601105852965,18
spatial_fold_3,coverage,0.2,43418,8684,5954,25.67059830746865,17.40563721691249,1.4991131205220298,19
spatial_fold_3,random,0.2,43418,8684,5954,25.853530139169745,17.407873044119697,2.104361902731426,19
spatial_fold_4,coverage,0.2,36244,7249,13128,36.41529420960476,23.953279249971214,0.0749181476725276,0
spatial_fold_4,random,0.2,36244,7249,13128,37.23769290779502,24.184653196449048,-0.6333569485975982,0
spatial_fold_4,coverage,0.2,36244,7249,13128,35.30753283716557,23.139532230715385,2.658901802921996,1
spatial_fold_4,random,0.2,36244,7249,13128,35.249980308428455,23.131924872422346,1.9370254266690805,1
spatial_fold_4,coverage,0.2,36244,7249,13128,35.755550056920924,23.758859696451157,-0.942962483168028,2
spatial_fold_4,random,0.2,36244,7249,13128,35.36532981582145,23.2593276961986,0.4726825289756842,2
spatial_fold_4,coverage,0.2,36244,7249,13128,33.94581865141759,22.81536879411813,-0.7087271828937597,3
spatial_fold_4,random,0.2,36244,7249,13128,34.57471905421677,22.329737201713268,2.7543755148040354,3
spatial_fold_4,coverage,0.2,36244,7249,13128,37.06161374591582,24.29717112357702,0.3580641819844545,4
spatial_fold_4,random,0.2,36244,7249,13128,36.43436277378926,23.78371160739347,0.2095063192697571,4
spatial_fold_4,coverage,0.2,36244,7249,13128,36.64019974640206,23.90036558310784,1.7199752671759994,5
spatial_fold_4,random,0.2,36244,7249,13128,34.36715602131932,22.581947240584864,0.3250634015401997,5
spatial_fold_4,coverage,0.2,36244,7249,13128,35.473147319936736,23.31779294936802,1.0531180061887164,6
spatial_fold_4,random,0.2,36244,7249,13128,35.94405816846778,23.47705197060021,-0.7984846577491174,6
spatial_fold_4,coverage,0.2,36244,7249,13128,36.16431463788845,23.51866162269561,1.1145780247234258,7
spatial_fold_4,random,0.2,36244,7249,13128,34.69120803744552,22.56019268216199,0.3706460302419523,7
spatial_fold_4,coverage,0.2,36244,7249,13128,34.34142072934885,22.45462831094361,1.914831552017096,8
spatial_fold_4,random,0.2,36244,7249,13128,35.19476988352081,22.599183085998973,3.3146202291738907,8
spatial_fold_4,coverage,0.2,36244,7249,13128,39.333052366153154,25.802608925443547,-4.157586808472338,9
spatial_fold_4,random,0.2,36244,7249,13128,36.78956919457495,23.54008598022153,1.912254953850281,9
spatial_fold_4,coverage,0.2,36244,7249,13128,36.880269912647385,24.481691875666293,-0.9156981517586738,10
spatial_fold_4,random,0.2,36244,7249,13128,35.33723559368358,23.054327227997025,3.5704693132969227,10
spatial_fold_4,coverage,0.2,36244,7249,13128,37.31371436162485,24.45863884232896,0.8164318120296535,11
spatial_fold_4,random,0.2,36244,7249,13128,34.8835033755764,22.724653529412414,0.2659439439093696,11
spatial_fold_4,coverage,0.2,36244,7249,13128,36.060422215136725,24.025488894561104,-0.5837187596529994,12
spatial_fold_4,random,0.2,36244,7249,13128,34.75114494955263,22.63506141157667,-0.0272296308640173,12
spatial_fold_4,coverage,0.2,36244,7249,13128,35.92585792006865,23.528692698200143,0.5073049656931647,13
spatial_fold_4,random,0.2,36244,7249,13128,36.80282498475151,23.54657365236969,2.608637599582046,13
spatial_fold_4,coverage,0.2,36244,7249,13128,36.287280118833465,23.64278253078353,1.641843309678918,14
