regime,strategy,budget_fraction,n_train,occupied_coverage_cells,available_coverage_cells,coverage_cell_count_cv,seed
spatial_fold_4,coverage,0.2,7249,214,214,0.7017588537663295,12
spatial_fold_4,random,0.2,7249,211,214,1.6550272547352538,12
spatial_fold_4,coverage,0.2,7249,214,214,0.7230415466092297,13
spatial_fold_4,random,0.2,7249,212,214,1.6958146144092154,13
spatial_fold_4,coverage,0.2,7249,214,214,0.7056305334137167,14
spatial_fold_4,random,0.2,7249,211,214,1.669594259538263,14
spatial_fold_4,coverage,0.2,7249,214,214,0.7138701386879526,15
spatial_fold_4,random,0.2,7249,212,214,1.6813633640332617,15
spatial_fold_4,coverage,0.2,7249,214,214,0.7461154692357571,16
spatial_fold_4,random,0.2,7249,211,214,1.7414600397638562,16
spatial_fold_4,coverage,0.2,7249,214,214,0.7163076201343559,17
spatial_fold_4,random,0.2,7249,213,214,1.677454359529504,17
spatial_fold_4,coverage,0.2,7249,214,214,0.7467701691370286,18
spatial_fold_4,random,0.2,7249,211,214,1.670533085896023,18
spatial_fold_4,coverage,0.2,7249,214,214,0.7132937239148487,19
spatial_fold_4,random,0.2,7249,210,214,1.666476495713204,19
