validation_scheme,year,spatial_fold,budget,seed,strategy,occupied_locations,minimum_month_count,maximum_month_count,mean_abs_equal_deviation_pp,maximum_abs_equal_deviation_pp
whole_spatial_blocks,2010,2.0,5000,11,historical_spatial_month_balanced,2931,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,12,historical_spatial_month_balanced,2919,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,13,historical_spatial_month_balanced,2980,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,14,historical_spatial_month_balanced,2964,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,15,historical_spatial_month_balanced,2905,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,16,historical_spatial_month_balanced,2919,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,17,historical_spatial_month_balanced,2952,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,18,historical_spatial_month_balanced,2953,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,2.0,5000,19,historical_spatial_month_balanced,2955,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,0,historical_spatial_month_balanced,2866,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,1,historical_spatial_month_balanced,2836,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,2,historical_spatial_month_balanced,2866,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,3,historical_spatial_month_balanced,2793,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,4,historical_spatial_month_balanced,2850,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,5,historical_spatial_month_balanced,2835,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,6,historical_spatial_month_balanced,2809,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,7,historical_spatial_month_balanced,2849,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,8,historical_spatial_month_balanced,2781,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,9,historical_spatial_month_balanced,2840,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,10,historical_spatial_month_balanced,2840,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,11,historical_spatial_month_balanced,2845,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,12,historical_spatial_month_balanced,2842,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,13,historical_spatial_month_balanced,2871,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,14,historical_spatial_month_balanced,2827,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,15,historical_spatial_month_balanced,2852,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,16,historical_spatial_month_balanced,2845,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,17,historical_spatial_month_balanced,2860,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,18,historical_spatial_month_balanced,2862,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,3.0,5000,19,historical_spatial_month_balanced,2831,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,0,historical_spatial_month_balanced,2971,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,1,historical_spatial_month_balanced,2986,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,2,historical_spatial_month_balanced,2990,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,3,historical_spatial_month_balanced,2967,416,417,0.0088888888888892,0.0133333333333332
