validation_scheme,year,spatial_fold,budget,domain,weighting,strategy,n_seeds,mean_bias,sd_bias,mean_mae,mean_rmse
whole_blocks,2005,1,5000,south_of_60n,equal_cell,historical_density,20,0.4577861085191944,0.48203554620760847,12.480331407972168,18.771104664075352
whole_blocks,2005,1,5000,south_of_60n,equal_cell,random,20,0.4270050304529926,0.6930491154681646,10.818895879652985,17.739535876012738
whole_blocks,2005,1,5000,south_of_60n,spherical_cell_area,historical_density,20,0.6082495737005793,0.48392730111549026,12.15402893772276,18.38590256322326
whole_blocks,2005,1,5000,south_of_60n,spherical_cell_area,random,20,0.6853693103779297,0.6898558739342787,10.637835803222995,17.43871108931448
whole_blocks,2005,2,5000,60_to_90n,equal_cell,historical_density,20,-36.75313774087298,6.1239666651453755,47.07574858247931,72.14103750543545
whole_blocks,2005,2,5000,60_to_90n,equal_cell,random,20,-0.6412456246060382,2.1296279804240856,20.42543404588934,43.73787473233497
whole_blocks,2005,2,5000,60_to_90n,spherical_cell_area,historical_density,20,-29.382950643936244,5.1727146285074825,42.032976397402365,71.12487972722114
whole_blocks,2005,2,5000,60_to_90n,spherical_cell_area,random,20,-1.2632341585177216,1.4984683720770842,21.348451251564075,47.317273008625875
whole_blocks,2005,2,5000,global,equal_cell,historical_density,20,-5.483840138624849,0.6936778281818211,18.860052248985465,42.067833744848905
whole_blocks,2005,2,5000,global,equal_cell,random,20,0.15810641625436372,1.0869859518857878,13.78220647179046,34.78126208349667
whole_blocks,2005,2,5000,global,spherical_cell_area,historical_density,20,-1.4879030927664119,0.47142666961206336,15.79640568927123,36.12859263975857
whole_blocks,2005,2,5000,global,spherical_cell_area,random,20,0.6309438952264421,1.0120824161683204,13.010179843571942,32.19658347253323
whole_blocks,2005,2,5000,south_of_60n,equal_cell,historical_density,20,-1.1777608878124668,0.5421984796104312,14.974482893562989,35.980283661378635
whole_blocks,2005,2,5000,south_of_60n,equal_cell,random,20,0.2681847838924023,1.2198498841871996,12.867370942731592,33.32675761898817
whole_blocks,2005,2,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.20326905819992813,0.5367814374785685,14.58814850239428,33.64266937695787
whole_blocks,2005,2,5000,south_of_60n,spherical_cell_area,random,20,0.7181753505915938,1.0622924370417104,12.6261823895253,31.311440541065224
whole_blocks,2005,3,5000,60_to_90n,equal_cell,historical_density,20,-44.504492607429185,5.511503796685884,52.331321384762646,77.35531921458107
whole_blocks,2005,3,5000,60_to_90n,equal_cell,random,20,-0.4765689697961272,1.9133835910301822,15.899392118365673,35.553956673751095
whole_blocks,2005,3,5000,60_to_90n,spherical_cell_area,historical_density,20,-37.14521331537669,4.3695075240139944,46.268085541079344,77.6848312391152
whole_blocks,2005,3,5000,60_to_90n,spherical_cell_area,random,20,-1.6481221007345794,2.3205945181610046,16.966842888104424,40.84234331504064
whole_blocks,2005,3,5000,global,equal_cell,historical_density,20,-5.734692867995738,0.6685080040600366,18.120808405152847,49.83342893258974
whole_blocks,2005,3,5000,global,equal_cell,random,20,0.4537075895786007,0.4894888843116822,12.026514733445893,39.99506302170977
whole_blocks,2005,3,5000,global,spherical_cell_area,historical_density,20,-2.0121037368090455,0.45748738778402004,14.542013546436872,43.064913467893774
whole_blocks,2005,3,5000,global,spherical_cell_area,random,20,0.47254390378575417,0.39648834190881216,11.479067811321196,37.00581730225806
whole_blocks,2005,3,5000,south_of_60n,equal_cell,historical_density,20,-0.9605964945777193,0.4737580915268374,13.90814063161763,45.26224134308917
whole_blocks,2005,3,5000,south_of_60n,equal_cell,random,20,0.5682614427900071,0.38150734966627153,11.549610287142237,40.506737507592234
whole_blocks,2005,3,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.5937121141174629,0.47005102306295177,13.261170624250378,41.04679474286181
whole_blocks,2005,3,5000,south_of_60n,spherical_cell_area,random,20,0.5581592942655484,0.3579416975381385,11.257515711621105,36.84164187487099
whole_blocks,2005,4,5000,60_to_90n,equal_cell,historical_density,20,-50.643334933588434,5.298226528327368,55.40826678801542,77.31519186925448
whole_blocks,2005,4,5000,60_to_90n,equal_cell,random,20,1.2033789986303567,1.9860058641697442,19.94895618618925,41.203961571105744
whole_blocks,2005,4,5000,60_to_90n,spherical_cell_area,historical_density,20,-46.67890220396655,5.526215336288621,53.08824294454452,80.66487594065003
whole_blocks,2005,4,5000,60_to_90n,spherical_cell_area,random,20,0.6681956099728915,2.44997953780136,23.460173647789144,47.585632782406435
whole_blocks,2005,4,5000,global,equal_cell,historical_density,20,-6.779866349627059,0.6798173136144166,17.659151548819118,31.97187327421009
whole_blocks,2005,4,5000,global,equal_cell,random,20,-0.8813146832134638,0.3915675675602865,12.823888051735882,22.902231748247537
whole_blocks,2005,4,5000,global,spherical_cell_area,historical_density,20,-3.33389121206015,0.37431482560796564,14.2102249738958,25.497302499943384
whole_blocks,2005,4,5000,global,spherical_cell_area,random,20,-1.5509314760193302,0.3088578196137819,12.148140787818402,21.20547706238599
whole_blocks,2005,4,5000,south_of_60n,equal_cell,historical_density,20,-1.642856944276485,0.3051460095369335,13.238216171667483,20.995214257566516
whole_blocks,2005,4,5000,south_of_60n,equal_cell,random,20,-1.125460698032328,0.29969243649871297,11.98944556002117,19.670942836813513
whole_blocks,2005,4,5000,south_of_60n,spherical_cell_area,historical_density,20,-1.674181273214942,0.296707248588659,12.72155923470526,20.62131895226691
whole_blocks,2005,4,5000,south_of_60n,spherical_cell_area,random,20,-1.635903360808323,0.28224230786322585,11.714995359161279,19.495987741087163
whole_blocks,2010,0,5000,60_to_90n,equal_cell,historical_density,20,-33.35325505156287,6.174799204139542,53.1487014124976,88.1708915441968
whole_blocks,2010,0,5000,60_to_90n,equal_cell,random,20,-2.43288634548341,3.406957908865238,22.182585745958566,52.13973803446064
whole_blocks,2010,0,5000,60_to_90n,spherical_cell_area,historical_density,20,-35.419829241526266,6.083991228330054,52.39091586631107,91.2808480097116
whole_blocks,2010,0,5000,60_to_90n,spherical_cell_area,random,20,-3.5366617734416237,3.8557781173528647,25.270605975717597,56.6154854865831
whole_blocks,2010,0,5000,global,equal_cell,historical_density,20,-3.8211074276966728,0.6972925106692145,18.243267547640674,36.724826639149555
whole_blocks,2010,0,5000,global,equal_cell,random,20,0.4871144159644681,0.4544189662897286,13.27329666360545,27.271153505601365
whole_blocks,2010,0,5000,global,spherical_cell_area,historical_density,20,-1.1005826603505109,0.3603917073661628,14.977143171655005,28.900301851211275
whole_blocks,2010,0,5000,global,spherical_cell_area,random,20,0.8123755570677661,0.31777324348227687,12.35285715706096,24.319485505916187
whole_blocks,2010,0,5000,south_of_60n,equal_cell,historical_density,20,-0.008495943663827596,0.22334283311890116,13.73696276739658,22.75118041709466
whole_blocks,2010,0,5000,south_of_60n,equal_cell,random,20,0.8640876242212194,0.2933652302128771,12.123104056465113,22.06734845197621
whole_blocks,2010,0,5000,south_of_60n,spherical_cell_area,historical_density,20,0.3825495287842683,0.2766709725138311,13.360278696813864,22.587473875445475
whole_blocks,2010,0,5000,south_of_60n,spherical_cell_area,random,20,1.0003224935300958,0.3147500731176348,11.794606874998646,21.852338511952446
whole_blocks,2010,1,5000,60_to_90n,equal_cell,historical_density,20,-27.05186878259184,4.261191700526382,48.363904503224944,79.07904496663333
whole_blocks,2010,1,5000,60_to_90n,equal_cell,random,20,3.216868294817041,5.206556390053034,21.638869678754723,44.72533719717097
whole_blocks,2010,1,5000,60_to_90n,spherical_cell_area,historical_density,20,-25.499569267621503,3.4046352851642796,47.19050934252292,82.92834373029032
whole_blocks,2010,1,5000,60_to_90n,spherical_cell_area,random,20,4.307830898627597,6.1563334776432,24.351781205338494,47.92257367530841
whole_blocks,2010,1,5000,global,equal_cell,historical_density,20,-2.3190366262355786,0.5447337656450912,16.448009022830806,31.21807047611191
whole_blocks,2010,1,5000,global,equal_cell,random,20,1.0388292852693224,0.8804160090691012,12.45525330440518,23.037187099567763
whole_blocks,2010,1,5000,global,spherical_cell_area,historical_density,20,-0.33547803130616793,0.49184828343499637,13.905530589484211,24.76489665103178
whole_blocks,2010,1,5000,global,spherical_cell_area,random,20,1.2481527670119088,0.7520561103410036,11.749534323196722,20.5883737443334
whole_blocks,2010,1,5000,south_of_60n,equal_cell,historical_density,20,0.2025923026574449,0.5471305642024952,13.194032898054298,20.825809837287554
whole_blocks,2010,1,5000,south_of_60n,equal_cell,random,20,0.8167679321653856,0.6668801489044661,11.518940286348165,19.332449328144286
whole_blocks,2010,1,5000,south_of_60n,spherical_cell_area,historical_density,20,0.44938521543832916,0.51961077054231,12.867378396877678,20.406292805806515
whole_blocks,2010,1,5000,south_of_60n,spherical_cell_area,random,20,1.1527219847189472,0.687419686680667,11.356472626221175,19.02882903527937
whole_blocks,2010,2,5000,60_to_90n,equal_cell,historical_density,20,-32.41087937913054,8.936320339993994,51.78654041101794,90.64110896001013
whole_blocks,2010,2,5000,60_to_90n,equal_cell,random,20,-1.417307621266319,2.604979660786675,21.323192585332457,66.7699210939602
whole_blocks,2010,2,5000,60_to_90n,spherical_cell_area,historical_density,20,-26.700129386642676,7.161299165640987,46.14313885354488,88.87336254267527
whole_blocks,2010,2,5000,60_to_90n,spherical_cell_area,random,20,-2.268703306264805,2.0228276798587426,22.213749757705013,69.43346177395325
whole_blocks,2010,2,5000,global,equal_cell,historical_density,20,-5.509514595043564,0.8247529765254783,19.46403083435825,43.43480690268832
whole_blocks,2010,2,5000,global,equal_cell,random,20,-0.2528460918175437,0.8050603218818086,13.332982191719987,34.67344106470759
whole_blocks,2010,2,5000,global,spherical_cell_area,historical_density,20,-1.9782380390320402,0.5542074011870044,15.984711518933022,35.47114368852543
whole_blocks,2010,2,5000,global,spherical_cell_area,random,20,0.11204676401348494,0.6574952948777798,12.388366355728893,30.035032371916778
whole_blocks,2010,2,5000,south_of_60n,equal_cell,historical_density,20,-1.8049411764528156,0.7643392967790285,15.012914292097571,31.831183445125106
whole_blocks,2010,2,5000,south_of_60n,equal_cell,random,20,-0.09248868008060342,0.7442493783652484,12.232654335839833,27.43799624922631
whole_blocks,2010,2,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.839735479904356,0.7307751174873439,14.595843401322744,30.85297121613342
whole_blocks,2010,2,5000,south_of_60n,spherical_cell_area,random,20,0.2216860310721202,0.6548917132367497,11.935883817468662,26.85465795092163
whole_blocks,2010,3,5000,60_to_90n,equal_cell,historical_density,20,-30.517851010811704,5.341254021894626,45.30249660841202,75.08056755663408
whole_blocks,2010,3,5000,60_to_90n,equal_cell,random,20,-1.3885415623982817,1.9366180664789892,16.373877508442764,38.67967886270223
whole_blocks,2010,3,5000,60_to_90n,spherical_cell_area,historical_density,20,-26.70305555841988,4.448102703591046,40.45838731706783,78.19146632923257
whole_blocks,2010,3,5000,60_to_90n,spherical_cell_area,random,20,-1.6587591518708156,2.1615736021115457,17.40139251055276,44.99824270872471
whole_blocks,2010,3,5000,global,equal_cell,historical_density,20,-4.8193392330570015,0.7562036157002154,16.970182034407202,43.87906110704663
whole_blocks,2010,3,5000,global,equal_cell,random,20,-0.1784470957919857,0.3517468877155983,12.304350363342465,34.23608972244841
whole_blocks,2010,3,5000,global,spherical_cell_area,historical_density,20,-2.6411277825309387,0.43295961322277543,14.068984880015293,37.62815675347876
whole_blocks,2010,3,5000,global,spherical_cell_area,random,20,-0.286739649475606,0.2611950949673682,11.653275699150779,31.467762417440326
whole_blocks,2010,3,5000,south_of_60n,equal_cell,historical_density,20,-1.6548356063944243,0.3527724119038599,13.481353070436095,38.29583923760609
whole_blocks,2010,3,5000,south_of_60n,equal_cell,random,20,-0.029436586494917254,0.31950499938646076,11.803230550613883,33.64321242503924
whole_blocks,2010,3,5000,south_of_60n,spherical_cell_area,historical_density,20,-1.6697011939789612,0.3637605615125527,13.003593635302185,35.011387367593365
whole_blocks,2010,3,5000,south_of_60n,spherical_cell_area,random,20,-0.23134856705476609,0.2731014280625402,11.421213099815168,30.79473536912094
whole_blocks,2010,4,5000,60_to_90n,equal_cell,historical_density,20,-28.378282699435196,7.717708491577917,50.749537353607344,78.72489111927388
whole_blocks,2010,4,5000,60_to_90n,equal_cell,random,20,1.7124602970376028,2.564623340076493,19.070255031111987,45.01987235283153
