validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
whole_blocks,2010,3,5000,60_to_90n,equal_cell,-30.517851010811704,-1.3885415623982817,45.30249660841202,16.373877508442764,75.08056755663408,38.67967886270223,-29.129309448413423,28.928619099969257,36.40088869393185
whole_blocks,2010,3,5000,60_to_90n,spherical_cell_area,-26.70305555841988,-1.6587591518708156,40.45838731706783,17.40139251055276,78.19146632923257,44.99824270872471,-25.044296406549066,23.05699480651507,33.19322362050786
whole_blocks,2010,3,5000,global,equal_cell,-4.8193392330570015,-0.1784470957919857,16.970182034407202,12.304350363342465,43.87906110704663,34.23608972244841,-4.640892137265016,4.665831671064737,9.64297138459822
whole_blocks,2010,3,5000,global,spherical_cell_area,-2.6411277825309387,-0.286739649475606,14.068984880015293,11.653275699150779,37.62815675347876,31.467762417440326,-2.3543881330553327,2.415709180864514,6.160394336038436
whole_blocks,2010,3,5000,south_of_60n,equal_cell,-1.6548356063944243,-0.029436586494917254,13.481353070436095,11.803230550613883,38.29583923760609,33.64321242503924,-1.625399019899507,1.678122519822212,4.652626812566851
whole_blocks,2010,3,5000,south_of_60n,spherical_cell_area,-1.6697011939789612,-0.23134856705476609,13.003593635302185,11.421213099815168,35.011387367593365,30.79473536912094,-1.438352626924195,1.582380535487017,4.216651998472425
whole_blocks,2010,4,5000,60_to_90n,equal_cell,-28.378282699435196,1.7124602970376028,50.749537353607344,19.070255031111987,78.72489111927388,45.01987235283153,-30.090742996472798,31.679282322495357,33.70501876644235
whole_blocks,2010,4,5000,60_to_90n,spherical_cell_area,-31.224618701286875,1.9029661337857615,50.82107272537843,22.235413498751367,85.06808171458087,51.425121231536195,-33.12758483507264,28.58565922662706,33.642960483044675
whole_blocks,2010,4,5000,global,equal_cell,-4.835624627583764,-0.6377110495001872,17.61230725736462,12.976844806693176,32.99258145771368,24.357729568661,-4.197913578083576,4.635462450671444,8.634851889052683
whole_blocks,2010,4,5000,global,spherical_cell_area,-3.135591514054908,-1.314565634995298,14.809474540148898,12.46886793670771,27.18073707327693,22.530028693670648,-1.82102587905961,2.340606603441188,4.650708379606282
whole_blocks,2010,4,5000,south_of_60n,equal_cell,-2.078458816344783,-0.912948113533114,13.73148642474337,12.263223503043141,22.101510337797613,20.61186534661337,-1.1655107028116687,1.4682629217002283,1.4896449911842424
whole_blocks,2010,4,5000,south_of_60n,spherical_cell_area,-2.0600435668217836,-1.43776711385046,13.43056596326825,12.094900267382739,22.12046432897369,20.628841389555227,-0.6222764529713236,1.3356656958855115,1.4916229394184626
whole_blocks,2014,0,5000,60_to_90n,equal_cell,-42.66481049965094,-4.286485514150693,49.59720010115965,20.018340658733244,80.47336024074552,45.00837499271756,-38.37832498550025,29.578859442426406,35.46498524802796
whole_blocks,2014,0,5000,60_to_90n,spherical_cell_area,-40.954400455997536,-4.999283958877338,48.96896985971181,22.938823039480102,83.2432784717781,49.318310107335826,-35.9551164971202,26.03014682023171,33.92496836444227
whole_blocks,2014,0,5000,global,equal_cell,-4.169176543641076,0.6912771122721073,18.133858348427623,13.539173812083058,35.14056095444454,26.738756850101804,-4.860453655913184,4.594684536344564,8.401804104342734
whole_blocks,2014,0,5000,global,spherical_cell_area,-0.6393221535060787,1.1201104131661863,15.354456697493768,12.916413632012361,28.745741344500495,24.909960734979006,-1.759432566672265,2.4380430654814074,3.835780609521489
whole_blocks,2014,0,5000,south_of_60n,equal_cell,0.8006244330815822,1.3339081594957745,14.071928968270608,12.702710909312652,23.593592855890382,23.345350110703798,-0.5332837264141923,1.3692180589579568,0.24824274518658385
whole_blocks,2014,0,5000,south_of_60n,spherical_cell_area,1.1029244367996263,1.3845646677116838,13.901780095894773,12.483287631715607,23.695913609140995,23.276561967698488,-0.2816402309120576,1.4184924641791667,0.4193516414425069
whole_blocks,2014,1,5000,60_to_90n,equal_cell,-31.196832206190084,3.1303802028723027,43.03658870817871,16.763356804117247,65.11654485153842,29.020025704311234,-34.32721240906238,26.273231904061465,36.096519147227184
whole_blocks,2014,1,5000,60_to_90n,spherical_cell_area,-24.476656132913764,3.991130800909775,39.43708371942374,19.290076053215568,65.87659940539433,32.942840260974755,-28.46778693382354,20.14700766620817,32.933759144419575
whole_blocks,2014,1,5000,global,equal_cell,-2.3607938044240964,1.186351281795048,16.04847471554937,12.138578113523817,27.938821173490943,20.285300872628586,-3.5471450862191443,3.9098966020255546,7.653520300862358
whole_blocks,2014,1,5000,global,spherical_cell_area,0.3402755127342353,1.3674237025353382,13.959073468765993,11.861091222955734,23.153924962824632,19.559619292241106,-1.0271481898011028,2.0979822458102593,3.594305670583527
whole_blocks,2014,1,5000,south_of_60n,equal_cell,0.5791763602897748,0.9881483612802103,13.296909162932824,11.667060106115544,20.599401316320236,19.154051695244945,-0.4089720009904355,1.6298490568172799,1.445349621075291
whole_blocks,2014,1,5000,south_of_60n,spherical_cell_area,1.1143109174990289,1.2855907743203518,13.16441914733106,11.62938259103507,20.40454628179115,18.983788630542403,-0.17127985682132296,1.5350365562959905,1.4207576512487456
whole_blocks,2014,2,5000,60_to_90n,equal_cell,-33.03164293610904,0.6632304059770492,47.60085870333522,18.451056929110756,72.05862084173232,38.6318209978159,-33.69487334208608,29.149801774224464,33.42679984391642
whole_blocks,2014,2,5000,60_to_90n,spherical_cell_area,-25.909505006057753,0.6461276630774001,41.76505646445528,19.84495421166428,68.9856643623745,42.741300086710915,-26.555632669135154,21.920102252790997,26.244364275663578
whole_blocks,2014,2,5000,global,equal_cell,-5.70376471260156,-0.363121524030914,19.83346641916929,14.111092165057963,39.24115297964551,29.21702995246452,-5.340643188570645,5.722374254111328,10.024123027180991
whole_blocks,2014,2,5000,global,spherical_cell_area,-1.9337071420474004,-0.1923738067372811,16.945484825192516,13.781884724701001,34.48397252500595,28.927969550988244,-1.7413333353101192,3.1636001004915144,5.556002974017709
whole_blocks,2014,2,5000,south_of_60n,equal_cell,-1.9404563427163133,-0.5044599322694407,16.009632788975487,13.51343779950544,32.11250858399261,27.66033964608431,-1.4359964104468725,2.496194989470048,4.452168937908297
whole_blocks,2014,2,5000,south_of_60n,spherical_cell_area,-0.8295639823881358,-0.23098881623608322,15.80248385368778,13.502665791569342,31.98872895950425,28.125283638291187,-0.5985751661520525,2.2998180621184385,3.8634453212130637
whole_blocks,2014,3,5000,60_to_90n,equal_cell,-42.528990587134835,-3.7624347447790805,50.36992262290953,15.266981217995484,79.2839820941722,36.633910873583645,-38.76655584235576,35.10294140491404,42.65007122058856
