year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,14,spatial_coverage_minus_random,p99_absolute_error,14.968942868486863
2005,all,500,14,historical_density_minus_random,rmse,6.807116184591585
2005,all,500,14,historical_density_minus_random,mae,4.54411217389686
2005,all,500,14,historical_density_minus_random,median_absolute_error,2.666131531779257
2005,all,500,14,historical_density_minus_random,p95_absolute_error,14.625815644812967
2005,all,500,14,historical_density_minus_random,p99_absolute_error,26.59646750580515
2005,all,500,15,spatial_coverage_minus_random,rmse,-2.351065011127261
2005,all,500,15,spatial_coverage_minus_random,mae,-0.18395645051021603
2005,all,500,15,spatial_coverage_minus_random,median_absolute_error,0.5621297496513762
2005,all,500,15,spatial_coverage_minus_random,p95_absolute_error,-4.736791129846559
2005,all,500,15,spatial_coverage_minus_random,p99_absolute_error,-10.058725903671316
2005,all,500,15,historical_density_minus_random,rmse,7.384406980747315
2005,all,500,15,historical_density_minus_random,mae,5.184353097628623
2005,all,500,15,historical_density_minus_random,median_absolute_error,3.3383071080326943
2005,all,500,15,historical_density_minus_random,p95_absolute_error,22.15300020401878
2005,all,500,15,historical_density_minus_random,p99_absolute_error,21.666961515906664
2005,all,500,16,spatial_coverage_minus_random,rmse,0.16601875986810555
2005,all,500,16,spatial_coverage_minus_random,mae,0.5603970759677317
2005,all,500,16,spatial_coverage_minus_random,median_absolute_error,0.5042258067473995
2005,all,500,16,spatial_coverage_minus_random,p95_absolute_error,-0.33047795936410296
2005,all,500,16,spatial_coverage_minus_random,p99_absolute_error,4.467348025333976
2005,all,500,16,historical_density_minus_random,rmse,6.02874719484652
2005,all,500,16,historical_density_minus_random,mae,3.9976094767349615
2005,all,500,16,historical_density_minus_random,median_absolute_error,2.5952958983424423
2005,all,500,16,historical_density_minus_random,p95_absolute_error,14.521182931842617
2005,all,500,16,historical_density_minus_random,p99_absolute_error,19.19077579245804
2005,all,500,17,spatial_coverage_minus_random,rmse,-0.5362516052076067
2005,all,500,17,spatial_coverage_minus_random,mae,0.10691123368227196
2005,all,500,17,spatial_coverage_minus_random,median_absolute_error,0.32890900492890296
2005,all,500,17,spatial_coverage_minus_random,p95_absolute_error,0.1270599291656893
2005,all,500,17,spatial_coverage_minus_random,p99_absolute_error,-3.745048401507347
2005,all,500,17,historical_density_minus_random,rmse,11.271665688505955
2005,all,500,17,historical_density_minus_random,mae,6.35696436201356
2005,all,500,17,historical_density_minus_random,median_absolute_error,2.617953799746971
2005,all,500,17,historical_density_minus_random,p95_absolute_error,33.103346876579685
2005,all,500,17,historical_density_minus_random,p99_absolute_error,54.11869210814632
2005,all,500,18,spatial_coverage_minus_random,rmse,0.35838889110498684
2005,all,500,18,spatial_coverage_minus_random,mae,0.5822081471319418
2005,all,500,18,spatial_coverage_minus_random,median_absolute_error,0.7464826049974818
2005,all,500,18,spatial_coverage_minus_random,p95_absolute_error,1.4839234006416717
2005,all,500,18,spatial_coverage_minus_random,p99_absolute_error,-1.606968191692232
2005,all,500,18,historical_density_minus_random,rmse,6.8982311240902625
