year,validation_scheme,spatial_fold,budget,seed,strategy,domain,weighting,n_evaluation,bias,mae,rmse,latitude_cutoff_degrees_north
2005,hidden_cells,-1,5000,6,random,south_of_60n,spherical_cell_area,87025,-0.0424781378824608,9.324246537558263,22.50701818041634,60.0
2005,hidden_cells,-1,5000,6,random,60_to_90n,equal_cell,10463,-1.6413797207995704,15.445140330409984,37.88832847205787,60.0
2005,hidden_cells,-1,5000,6,random,60_to_90n,spherical_cell_area,10463,-1.950089779993588,17.53975919530567,42.41072811450238,60.0
2005,hidden_cells,-1,5000,6,historical_density,global,equal_cell,97488,-5.304002489023705,16.26154680571819,35.522050652797766,60.0
2005,hidden_cells,-1,5000,6,historical_density,global,spherical_cell_area,97488,-1.857276659754773,13.019960984517208,29.272886059073763,60.0
2005,hidden_cells,-1,5000,6,historical_density,south_of_60n,equal_cell,87025,-0.6320578110736945,12.179658785660047,27.044937308993585,60.0
2005,hidden_cells,-1,5000,6,historical_density,south_of_60n,spherical_cell_area,87025,-0.3853208655236209,11.702276864257902,25.671717645151706,60.0
2005,hidden_cells,-1,5000,6,historical_density,60_to_90n,equal_cell,10463,-44.162454711005886,50.21225931126729,75.32106522946762,60.0
2005,hidden_cells,-1,5000,6,historical_density,60_to_90n,spherical_cell_area,10463,-39.3739314741018,46.60459748505581,76.81148753686706,60.0
2005,hidden_cells,-1,5000,7,random,global,equal_cell,97488,-0.0668068992478049,10.658162080321684,25.76136357140929,60.0
2005,hidden_cells,-1,5000,7,random,global,spherical_cell_area,97488,-0.0292887680260834,10.051512592832298,23.89021196895693,60.0
2005,hidden_cells,-1,5000,7,random,south_of_60n,equal_cell,87025,-0.0364796933983043,9.993226446506036,23.931307881645584,60.0
2005,hidden_cells,-1,5000,7,random,south_of_60n,spherical_cell_area,87025,-0.0234578614371563,9.737643195107085,22.8883705963988,60.0
2005,hidden_cells,-1,5000,7,random,60_to_90n,equal_cell,10463,-0.31905052813558,16.188700504560106,37.68335908388695,60.0
2005,hidden_cells,-1,5000,7,random,60_to_90n,spherical_cell_area,10463,-0.1779047187284229,18.051297571017937,42.01443253995024,60.0
2005,hidden_cells,-1,5000,7,historical_density,global,equal_cell,97488,-4.725207722899067,16.206517656369282,34.87936549068336,60.0
2005,hidden_cells,-1,5000,7,historical_density,global,spherical_cell_area,97488,-1.6408471659119437,13.361762155612414,29.28335659017936,60.0
2005,hidden_cells,-1,5000,7,historical_density,south_of_60n,equal_cell,87025,-0.6114334039416391,12.413140677710702,27.24255229269681,60.0
2005,hidden_cells,-1,5000,7,historical_density,south_of_60n,spherical_cell_area,87025,-0.3787107747729788,12.14784703649012,26.090535267405656,60.0
2005,hidden_cells,-1,5000,7,historical_density,60_to_90n,equal_cell,10463,-38.94113146439483,47.75756721842251,71.85025271337203,60.0
2005,hidden_cells,-1,5000,7,historical_density,60_to_90n,spherical_cell_area,10463,-33.809704070829504,44.30157344377409,73.2372843928843,60.0
2005,hidden_cells,-1,5000,8,random,global,equal_cell,97488,-0.0208341093680325,11.686263688408213,30.112919818745404,60.0
2005,hidden_cells,-1,5000,8,random,global,spherical_cell_area,97488,0.1418026056943893,10.71952720466358,26.08114412616992,60.0
2005,hidden_cells,-1,5000,8,random,south_of_60n,equal_cell,87025,0.2901281900113094,10.54191779156715,25.09489399149772,60.0
2005,hidden_cells,-1,5000,8,random,south_of_60n,spherical_cell_area,87025,0.2201331975305896,10.194816357437444,23.545572819642828,60.0
2005,hidden_cells,-1,5000,8,random,60_to_90n,equal_cell,10463,-2.60723323996989,21.20425104123185,56.66563024108466,60.0
2005,hidden_cells,-1,5000,8,random,60_to_90n,spherical_cell_area,10463,-1.854658012783086,24.093159626151355,62.34891115607199,60.0
2005,hidden_cells,-1,5000,8,historical_density,global,equal_cell,97488,-5.684550749260303,16.667636923004153,36.40419553114286,60.0
2005,hidden_cells,-1,5000,8,historical_density,global,spherical_cell_area,97488,-1.8731163264331527,13.199209582669669,29.656949659692145,60.0
2005,hidden_cells,-1,5000,8,historical_density,south_of_60n,equal_cell,87025,-0.4755777453373776,12.091527165870112,27.10632140672019,60.0
