year,spatial_fold,evaluation_domain,budget,seed,comparison,metric,difference
2005,0,spco2_le_threshold,1000,3,historical_density_minus_random,rmse,0.3806523207548622
2005,0,spco2_le_threshold,1000,3,historical_density_minus_random,mae,2.2929190028984365
2005,0,spco2_le_threshold,1000,3,historical_density_minus_random,median_absolute_error,2.6227741080457765
2005,0,spco2_le_threshold,1000,3,historical_density_minus_random,p95_absolute_error,11.242861714416186
2005,0,spco2_le_threshold,1000,3,historical_density_minus_random,p99_absolute_error,-29.961928993210392
2005,0,spco2_le_threshold,1000,3,spatial_coverage_minus_random,rmse,-0.6755477423246319
2005,0,spco2_le_threshold,1000,3,spatial_coverage_minus_random,mae,0.2863447816999205
2005,0,spco2_le_threshold,1000,3,spatial_coverage_minus_random,median_absolute_error,0.9345738852480832
2005,0,spco2_le_threshold,1000,3,spatial_coverage_minus_random,p95_absolute_error,-2.072969047212233
2005,0,spco2_le_threshold,1000,3,spatial_coverage_minus_random,p99_absolute_error,-15.971382208660742
2005,0,spco2_le_threshold,1000,4,historical_density_minus_random,rmse,4.673169768202982
2005,0,spco2_le_threshold,1000,4,historical_density_minus_random,mae,3.1342993578059364
2005,0,spco2_le_threshold,1000,4,historical_density_minus_random,median_absolute_error,1.688791351783749
2005,0,spco2_le_threshold,1000,4,historical_density_minus_random,p95_absolute_error,12.37224675479974
2005,0,spco2_le_threshold,1000,4,historical_density_minus_random,p99_absolute_error,21.56275867525703
2005,0,spco2_le_threshold,1000,4,spatial_coverage_minus_random,rmse,-0.025056873624880183
2005,0,spco2_le_threshold,1000,4,spatial_coverage_minus_random,mae,0.1643023740943157
2005,0,spco2_le_threshold,1000,4,spatial_coverage_minus_random,median_absolute_error,0.10680673434700338
2005,0,spco2_le_threshold,1000,4,spatial_coverage_minus_random,p95_absolute_error,1.2924563798307318
2005,0,spco2_le_threshold,1000,4,spatial_coverage_minus_random,p99_absolute_error,0.8316573805128797
2005,0,spco2_le_threshold,5000,0,historical_density_minus_random,rmse,7.762097775807771
2005,0,spco2_le_threshold,5000,0,historical_density_minus_random,mae,4.880522739028894
2005,0,spco2_le_threshold,5000,0,historical_density_minus_random,median_absolute_error,2.473860624008637
2005,0,spco2_le_threshold,5000,0,historical_density_minus_random,p95_absolute_error,20.674812321221694
2005,0,spco2_le_threshold,5000,0,historical_density_minus_random,p99_absolute_error,49.15774493470421
2005,0,spco2_le_threshold,5000,0,spatial_coverage_minus_random,rmse,6.224847525277333
2005,0,spco2_le_threshold,5000,0,spatial_coverage_minus_random,mae,2.4089620973565946
2005,0,spco2_le_threshold,5000,0,spatial_coverage_minus_random,median_absolute_error,1.3056408563483046
2005,0,spco2_le_threshold,5000,0,spatial_coverage_minus_random,p95_absolute_error,3.99710035392566
2005,0,spco2_le_threshold,5000,0,spatial_coverage_minus_random,p99_absolute_error,27.594602946227695
2005,0,spco2_le_threshold,5000,1,historical_density_minus_random,rmse,9.122997179142228
2005,0,spco2_le_threshold,5000,1,historical_density_minus_random,mae,4.731889391451201
2005,0,spco2_le_threshold,5000,1,historical_density_minus_random,median_absolute_error,1.8708413980017422
2005,0,spco2_le_threshold,5000,1,historical_density_minus_random,p95_absolute_error,26.31093015485095
2005,0,spco2_le_threshold,5000,1,historical_density_minus_random,p99_absolute_error,56.206925844418066
2005,0,spco2_le_threshold,5000,1,spatial_coverage_minus_random,rmse,0.7733832180999585
2005,0,spco2_le_threshold,5000,1,spatial_coverage_minus_random,mae,0.4161131379192309
2005,0,spco2_le_threshold,5000,1,spatial_coverage_minus_random,median_absolute_error,0.13333000106933923
2005,0,spco2_le_threshold,5000,1,spatial_coverage_minus_random,p95_absolute_error,2.060319254679392
2005,0,spco2_le_threshold,5000,1,spatial_coverage_minus_random,p99_absolute_error,3.0057369883349025
2005,0,spco2_le_threshold,5000,2,historical_density_minus_random,rmse,8.471942173565704
2005,0,spco2_le_threshold,5000,2,historical_density_minus_random,mae,4.727437031833823
2005,0,spco2_le_threshold,5000,2,historical_density_minus_random,median_absolute_error,2.393570273592786
2005,0,spco2_le_threshold,5000,2,historical_density_minus_random,p95_absolute_error,20.41945944921312
2005,0,spco2_le_threshold,5000,2,historical_density_minus_random,p99_absolute_error,47.55903142678359
2005,0,spco2_le_threshold,5000,2,spatial_coverage_minus_random,rmse,4.242711736013355
2005,0,spco2_le_threshold,5000,2,spatial_coverage_minus_random,mae,1.1296525072157273
2005,0,spco2_le_threshold,5000,2,spatial_coverage_minus_random,median_absolute_error,0.6868356736241878
2005,0,spco2_le_threshold,5000,2,spatial_coverage_minus_random,p95_absolute_error,0.4372846582877514
2005,0,spco2_le_threshold,5000,2,spatial_coverage_minus_random,p99_absolute_error,11.894446568812981
2005,0,spco2_le_threshold,5000,3,historical_density_minus_random,rmse,6.993794068324579
2005,0,spco2_le_threshold,5000,3,historical_density_minus_random,mae,3.981444985291846
2005,0,spco2_le_threshold,5000,3,historical_density_minus_random,median_absolute_error,1.9090799178316047
2005,0,spco2_le_threshold,5000,3,historical_density_minus_random,p95_absolute_error,19.387761283719065
2005,0,spco2_le_threshold,5000,3,historical_density_minus_random,p99_absolute_error,40.8783513732008
2005,0,spco2_le_threshold,5000,3,spatial_coverage_minus_random,rmse,5.973515014494435
2005,0,spco2_le_threshold,5000,3,spatial_coverage_minus_random,mae,1.144067878876223
2005,0,spco2_le_threshold,5000,3,spatial_coverage_minus_random,median_absolute_error,0.4364258188867325
2005,0,spco2_le_threshold,5000,3,spatial_coverage_minus_random,p95_absolute_error,2.5431989217307276
2005,0,spco2_le_threshold,5000,3,spatial_coverage_minus_random,p99_absolute_error,1.680304323725096
2005,0,spco2_le_threshold,5000,4,historical_density_minus_random,rmse,8.849914896896156
