validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
hidden_cells_latitude_cap,2010,-1,5000,global,spherical_cell_area,historical_density_minus_random,0.08058450262052093,-1.0975025423794904,-1.1780870450000114,9.431333192158245,11.873835511452054,2.4425023192938085,19.261369645850003,23.524697286990303,4.2633276411403
hidden_cells_latitude_cap,2010,-1,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.08058450262052093,0.11016863417367909,0.029584131553158158,9.431333192158245,9.661275961424376,0.2299427692661311,19.261369645850003,17.509986645474843,-1.75138300037516
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,equal_cell,historical_density_minus_random,0.06735930869658424,-1.427511637241022,-1.4948709459376062,9.699930856193486,12.26462482613355,2.5646939699400644,20.02871597123507,24.608154314230667,4.579438342995598
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,0.06735930869658424,0.06256916701861963,-0.004790141677964613,9.699930856193486,9.882324175644865,0.1823933194513785,20.02871597123507,18.0689650564035,-1.9597509148315702
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.08058450262052093,-1.0975025423794904,-1.1780870450000114,9.431333192158245,11.873835511452054,2.4425023192938085,19.261369645850003,23.524697286990303,4.2633276411403
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.08058450262052093,0.11016863417367909,0.029584131553158158,9.431333192158245,9.661275961424376,0.2299427692661311,19.261369645850003,17.509986645474843,-1.75138300037516
hidden_cells_latitude_cap,2014,-1,5000,global,equal_cell,historical_density_minus_random,-0.008246091455757061,-1.03093739502522,-1.022691303569463,9.892107562277797,12.705009736088872,2.812902173811075,20.15095980516332,24.72999605310653,4.579036247943208
hidden_cells_latitude_cap,2014,-1,5000,global,equal_cell,spatial_coverage_minus_random,-0.008246091455757061,-0.11048422021062565,-0.1022381287548686,9.892107562277797,9.993681648687529,0.10157408640973209,20.15095980516332,18.533969602397512,-1.616990202765809
hidden_cells_latitude_cap,2014,-1,5000,global,spherical_cell_area,historical_density_minus_random,-0.02719351148839467,-0.6299006693040872,-0.6027071578156925,9.764903084558757,12.527620773365514,2.7627176888067577,20.50701207866144,24.86997460309449,4.362962524433051
hidden_cells_latitude_cap,2014,-1,5000,global,spherical_cell_area,spatial_coverage_minus_random,-0.02719351148839467,-0.036540913336219324,-0.009347401847824656,9.764903084558757,9.914337255147704,0.1494341705889468,20.50701207866144,19.03293454831037,-1.474077530351071
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,equal_cell,historical_density_minus_random,-0.008246091455757061,-1.03093739502522,-1.022691303569463,9.892107562277797,12.705009736088872,2.812902173811075,20.15095980516332,24.72999605310653,4.579036247943208
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-0.008246091455757061,-0.11048422021062565,-0.1022381287548686,9.892107562277797,9.993681648687529,0.10157408640973209,20.15095980516332,18.533969602397512,-1.616990202765809
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,-0.02719351148839467,-0.6299006693040872,-0.6027071578156925,9.764903084558757,12.527620773365514,2.7627176888067577,20.50701207866144,24.86997460309449,4.362962524433051
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,-0.02719351148839467,-0.036540913336219324,-0.009347401847824656,9.764903084558757,9.914337255147704,0.1494341705889468,20.50701207866144,19.03293454831037,-1.474077530351071
