validation_scheme,budget,comparison,metric,n_units,n_years,unit_definition,mean_random_baseline,mean_comparator_value,mean_difference,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,units_below_zero,units_above_zero,mean_relative_error_change_percent
month_stratified_hidden_cells,2500,historical_density_minus_random,rmse,3,3,year,27.914074028319437,36.89133770244016,8.97726367412072,8.811923051224362,8.2743652267085,9.597491810084762,7.736807402192639,10.383060568945162,0,3,32.47713133682148
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,bias,3,3,year,0.17018340048864408,0.23527480186048763,0.06509140137184352,0.08318253549525184,0.014401419309093194,0.12482695049629801,-0.05437969687706545,0.16647136549734418,1,2,
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,mae,3,3,year,12.134154648921688,12.496078689121896,0.3619240402002107,0.34644883089334755,0.3448116985725571,0.3712987771744327,0.3431745662517667,0.3961487234555179,0,3,2.9812842604467114
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,median_absolute_error,3,3,year,7.652429981758473,8.278130760102481,0.6257007783440072,0.6306648172341749,0.6134134589492803,0.6404701171838179,0.5961621006643858,0.6502754171334608,0,3,8.182202701427858
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,p95_absolute_error,3,3,year,34.900851261005016,35.443918494036794,0.5430672330317753,0.5458839725172453,0.4810235641378817,0.6065192716684038,0.41616315575851814,0.6671545708195623,0,3,1.551467025634257
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,p99_absolute_error,3,3,year,77.76301582906598,70.60882190974081,-7.154193919325162,-5.994562265433402,-7.7807264516097945,-5.947845560094649,-9.566890637786187,-5.901128854755896,3,0,-9.167395248740062
month_stratified_hidden_cells,2500,spatial_coverage_minus_random,rmse,3,3,year,27.914074028319437,26.791480441711784,-1.1225935866076568,-1.09725734877253,-1.2328730581115082,-0.9996459961862421,-1.3684887674504864,-0.9020346435999542,3,0,-4.008091691142219
month_stratified_hidden_cells,5000,historical_density_minus_random,bias,3,3,year,0.06482711518863521,-4.821721798214945,-4.886548913403581,-5.283877940802499,-5.287023953767237,-4.684738386739383,-5.290169966731976,-4.085598832676266,3,0,
month_stratified_hidden_cells,5000,historical_density_minus_random,mae,3,3,year,10.93617525469852,16.366403404175927,5.430228149477405,5.390238042291184,5.316420096387398,5.524041148974302,5.242602150483613,5.6578442556574196,0,3,49.648795254242536
month_stratified_hidden_cells,5000,historical_density_minus_random,median_absolute_error,3,3,year,7.083431327297313,9.05723723028303,1.973805902985718,1.9250649684519363,1.9084801019288742,2.014761236775671,1.891895235405812,2.104457505099406,0,3,27.852863813984
month_stratified_hidden_cells,5000,historical_density_minus_random,p95_absolute_error,3,3,year,30.695512375707782,56.371380934211025,25.675868558503236,26.46565814593278,25.079257438019738,26.66737447270151,23.692856730106698,26.869090799470236,0,3,83.72377909869373
month_stratified_hidden_cells,5000,historical_density_minus_random,p99_absolute_error,3,3,year,66.40595088521074,127.95362083014959,61.54766994493887,62.5125168870408,57.03254682104342,66.54521653988527,51.55257675504603,70.57791619272976,0,3,92.77554594291287
month_stratified_hidden_cells,5000,historical_density_minus_random,rmse,3,3,year,25.935714235208774,35.800685519904484,9.86497128469571,9.94827778159797,9.454143406369669,10.31745241147288,8.960009031141368,10.68662704134779,0,3,38.311437066309544
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,bias,3,3,year,0.06482711518863521,0.07131095972249998,0.006483844533864779,0.011138916421130102,-0.026854284391654333,0.04214950940301655,-0.06484748520443877,0.073160102384903,1,2,
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,mae,3,3,year,10.93617525469852,11.435920854189844,0.4997455994913202,0.4476633938658505,0.44089976381551743,0.5325503323543881,0.43413613376518434,0.6174372708429257,0,3,4.564630261699173
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,median_absolute_error,3,3,year,7.083431327297313,7.753802051931042,0.6703707246337292,0.6182055028557869,0.6171912367446533,0.6974676016338339,0.6161769706335196,0.7767297004118809,0,3,9.46596487892898
