validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_value,comparator_value,mean_difference,sd_seed_difference,seed_fraction_below_zero
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.254524784586861,9.98663769681352,1.7321129122266599,0.309191095197621,0.0
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,38.25417572065232,54.56298847760045,16.308812756948125,3.1014460632246443,0.0
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,95.7182379737134,145.59654897990407,49.878311006190685,27.82340027692601,0.05
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,27.271153505601365,35.55253328906705,8.281379783465681,2.436818790261416,0.0
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,bias,20,1.0388292852693224,-1.6652951672361325,-2.704124452505455,1.2077000601833559,1.0
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.45525330440518,15.689551157175785,3.234297852770605,0.6837506195856562,0.0
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,7.831676945992049,9.397682749466949,1.5660058034748985,0.28716657011271124,0.0
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,36.63708743783215,46.80127055597451,10.164183118142356,2.828937690902291,0.0
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,89.00934005882874,119.80384664846011,30.794506589631357,21.645605898162557,0.05
whole_spatial_blocks,2010,1.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,23.037187099567763,29.942559705249675,6.905372605681913,3.0514064470407387,0.05
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.2528460918175437,-3.398898271554264,-3.1460521797367202,1.8138850614219892,0.95
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,mae,20,13.332982191719987,17.45512755805266,4.12214536633267,0.6453660633924857,0.0
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.187585022488571,9.873684678855232,1.6860996563666617,0.3343182844661489,0.0
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,36.410991005832315,56.80932846491171,20.39833745907939,5.765878439410278,0.0
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,94.03023751878608,129.92279216944112,35.892554650655036,21.30709306400076,0.05
whole_spatial_blocks,2010,2.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,34.67344106470759,40.61124987488263,5.937808810175044,1.430211192497013,0.0
