evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
all,historical_density,500,1,390000,97488,97488,44.92420597112996,23.5263434600041,-7.058798832834929,14.01381902098521,86.77208191260405,162.70431165399984,-0.012385850770178175,0.5182890015803597
spco2_le_threshold,historical_density,500,1,390000,97488,97474,40.195944955949095,23.32375792800908,-6.853848099609013,14.010444030892444,86.45411181356037,162.31490309865106,0.022116847410223572,0.5845600134092902
all,historical_density,1000,1,390000,97488,97488,39.3703317591602,19.716625363578324,-4.532781150421793,11.624137078728154,67.01417014877511,126.35907004338138,0.22245882570436903,0.5873786294840428
spco2_le_threshold,historical_density,1000,1,390000,97488,97474,33.874642699415546,19.51454661340441,-4.328521574397045,11.62191253974143,66.93151332183224,125.42444323551885,0.3055005206768633,0.662611583262837
all,spatial_coverage,500,1,390000,97488,97488,33.31193577671104,18.222656036963265,-2.6402321974321143,12.587878328907891,51.820376564880725,101.32645019225512,0.4433464432584987,0.6695084605783947
spco2_le_threshold,spatial_coverage,500,1,390000,97488,97474,28.134546986808097,18.04810343507642,-2.463441522482161,12.586448855355798,51.739659638667355,100.76697951367507,0.5209262979257043,0.7260015997746985
all,spatial_coverage,1000,1,390000,97488,97488,30.054669128871303,14.913287264739735,-0.6607791936907781,9.824105692429015,43.06062799418097,85.53462380819211,0.5468842589492957,0.7402366160823424
spco2_le_threshold,spatial_coverage,1000,1,390000,97488,97474,24.158705765469076,14.737380083746814,-0.4828249528357924,9.82184104769189,43.008399847170175,84.94055795163835,0.6467600559987311,0.8052638836063514
all,random,500,2,390000,97488,97488,31.69651117753068,16.25193983617095,-0.5340962351275218,10.76275886194108,47.78737547176065,92.91774698791738,0.4960259536662327,0.7044059531611865
spco2_le_threshold,random,500,2,390000,97488,97474,25.6435602574444,16.068168851669856,-0.3480677274877983,10.76105584868992,47.73179833823459,92.55425039671803,0.602003621720274,0.7759674017439089
all,random,1000,2,390000,97488,97488,29.118199359655183,13.74359174852247,-0.6844362887445686,8.760528015746843,40.663748006791984,83.8990563633984,0.5746814961020332,0.758498668853399
spco2_le_threshold,random,1000,2,390000,97488,97474,22.641178144272118,13.563961007913276,-0.5029298871751504,8.759022864189319,40.61260071756634,83.45532079822439,0.6897437621578626,0.8308353909444703
all,historical_density,500,2,390000,97488,97488,40.62819359965738,22.148438281026827,-4.861899688704853,14.132464562850856,67.0559062429604,135.25394979129774,0.17198105447414336,0.5625605375595191
spco2_le_threshold,historical_density,500,2,390000,97488,97474,35.480927730132095,21.950199528463504,-4.661178104409044,14.130018045371799,66.96391784923787,134.94069669706025,0.23807466937739452,0.6321347537484477
all,historical_density,1000,2,390000,97488,97488,35.68647718906652,17.750407110117994,-2.0210307664658607,11.414548957988387,54.05647067781803,113.923967370761,0.36115925988705233,0.6395393533810623
spco2_le_threshold,historical_density,1000,2,390000,97488,97474,29.704900977564765,17.551988482050145,-1.8203529588341185,11.411897910058258,53.97817099364299,113.14815022196439,0.46595396346838047,0.7181816633642688
all,spatial_coverage,500,2,390000,97488,97488,31.517652109008214,16.665095857135803,0.2913225179010074,11.495948042020302,46.92974120949743,87.71929220750908,0.5016976191201001,0.7083605530567523
spco2_le_threshold,spatial_coverage,500,2,390000,97488,97474,25.534251273417656,16.483090001000807,0.47576379124726137,11.49427930073017,46.86274316474526,87.18656498302686,0.6053894119442721,0.7781842874708281
all,spatial_coverage,1000,2,390000,97488,97488,28.432573272060008,13.999625462905895,1.1926041856639327,9.259404324754883,40.67209333263737,79.99006977988965,0.5944750482487793,0.7718059038312887
spco2_le_threshold,spatial_coverage,1000,2,390000,97488,97474,22.31603596051171,13.828332406553836,1.3660792722505186,9.25766072084204,40.63193930801742,79.42537779313503,0.6985907450557624,0.8366095767640971
