year,spatial_fold,evaluation_domain,budget,comparison,metric,n_seeds,mean_difference,sd_difference,seed_bootstrap_low,seed_bootstrap_high,fraction_difference_below_zero
2005,2,all,5000,spatial_coverage_minus_random,mae,5,0.49404058979993304,0.9545237734226002,-0.24202185658333128,1.2301030361831973,0.4
2005,2,all,5000,spatial_coverage_minus_random,median_absolute_error,5,0.4728641366681071,0.3287809530492918,0.23296183185475455,0.7339296467099633,0.0
2005,2,all,5000,spatial_coverage_minus_random,p95_absolute_error,5,2.008378136363413,2.899647008304147,-0.16527362220392378,4.18202989493075,0.4
2005,2,all,5000,spatial_coverage_minus_random,p99_absolute_error,5,-3.6807196967585556,22.813998447301678,-21.349368609155306,13.800640319355944,0.4
2005,2,all,5000,spatial_coverage_minus_random,rmse,5,-0.9811689114999382,1.688694909572202,-2.1217227327086703,0.4599474535410167,0.8
2005,2,spco2_le_threshold,1000,historical_density_minus_random,mae,5,3.6290817947048866,3.2853387705228507,0.6280065769865775,5.543559548986606,0.2
2005,2,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,5,3.162190613852449,0.513513346381758,2.7582000876501422,3.5661811400547565,0.0
2005,2,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,5,14.427002334923918,16.851201873247987,-0.21041205338174365,25.282960530025864,0.2
2005,2,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,5,-16.141315531336495,88.94664359587108,-97.3606622275117,37.36126188044406,0.4
2005,2,spco2_le_threshold,1000,historical_density_minus_random,rmse,5,1.9714489496631067,12.110460080170187,-9.005924946749223,8.527252337038272,0.2
2005,2,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,5,-0.8024550086945602,3.724904695906639,-4.189022363811753,1.5657925791888059,0.4
2005,2,spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,5,0.5594641292030993,0.6288049245218743,0.06794474192484579,1.0509835164813528,0.2
2005,2,spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,5,-2.3733422660685535,12.959635591360945,-13.807055656408304,6.519839272559082,0.4
2005,2,spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,5,-60.03651509108281,104.00964018884811,-155.1625484935298,-1.799147804812435,0.8
2005,2,spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,5,-5.840583256055729,13.51519705306878,-18.143222159953705,1.9718086173283147,0.6
2005,2,spco2_le_threshold,5000,historical_density_minus_random,mae,5,5.418317309706421,0.9934582740315764,4.679219225821501,6.226783294960687,0.0
2005,2,spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,5,2.4489264413699345,0.369367230035556,2.15396754042158,2.733738772262144,0.0
2005,2,spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,5,27.59432316087582,8.051023806328516,21.20483812256402,34.319190951647464,0.0
2005,2,spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,5,48.60464276131275,19.414784026665526,34.08549932211819,64.4613261468531,0.0
2005,2,spco2_le_threshold,5000,historical_density_minus_random,rmse,5,9.535792166087223,2.6100248012425786,7.553693836668984,11.52789370361798,0.0
2005,2,spco2_le_threshold,5000,spatial_coverage_minus_random,mae,5,0.5312591928197676,0.9898929649999104,-0.2303677939953655,1.2928861796349007,0.4
2005,2,spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,5,0.47366639378736863,0.32902648333546486,0.22023255661397342,0.7349606242740492,0.0
2005,2,spco2_le_threshold,5000,spatial_coverage_minus_random,p95_absolute_error,5,1.9837810835890395,2.8835447204883375,-0.1782664224953024,4.145828589673381,0.4
2005,2,spco2_le_threshold,5000,spatial_coverage_minus_random,p99_absolute_error,5,-4.026993798565857,22.005958581375126,-21.255538333184937,12.827213677253479,0.4
2005,2,spco2_le_threshold,5000,spatial_coverage_minus_random,rmse,5,0.6083695067931807,3.5376445054882697,-2.0686538038157294,3.2688155046129097,0.4
2005,3,all,1000,historical_density_minus_random,mae,5,6.161255384609531,1.0698818773186225,5.376754733286029,7.068608174884631,0.0
2005,3,all,1000,historical_density_minus_random,median_absolute_error,5,2.831346074768947,0.44914876886926247,2.491763527491082,3.2055532295213482,0.0
2005,3,all,1000,historical_density_minus_random,p95_absolute_error,5,29.708525250390778,12.034781311102071,21.064628223379525,39.92017349279652,0.0
2005,3,all,1000,historical_density_minus_random,p99_absolute_error,5,54.01722835578663,23.013876067471838,36.67026709460164,72.42537244148602,0.0
2005,3,all,1000,historical_density_minus_random,rmse,5,9.088578481584474,2.779062139474805,6.995461680173894,11.296956317167433,0.0
2005,3,all,1000,spatial_coverage_minus_random,mae,5,0.015355337423657644,1.088480088463697,-0.9124502989674127,0.7596447796556494,0.4
2005,3,all,1000,spatial_coverage_minus_random,median_absolute_error,5,0.4274686617468767,0.4811191513073593,0.04910236983858276,0.8058349536551705,0.2
2005,3,all,1000,spatial_coverage_minus_random,p95_absolute_error,5,-0.5744737053711362,3.306101366350151,-3.3573296738141933,2.076342771381127,0.6
2005,3,all,1000,spatial_coverage_minus_random,p99_absolute_error,5,-6.242045280459516,14.526599475959689,-18.99307842955376,4.236873521699232,0.8
2005,3,all,1000,spatial_coverage_minus_random,rmse,5,-0.2738200891492994,1.9662126734310195,-1.8048196305117414,1.2571794522131428,0.4
2005,3,all,5000,historical_density_minus_random,mae,5,6.20547001412004,0.9447326159334974,5.472510548568747,6.932077572340033,0.0
2005,3,all,5000,historical_density_minus_random,median_absolute_error,5,2.086814112975952,0.0958746360407241,2.019254151501008,2.1669544717777627,0.0
2005,3,all,5000,historical_density_minus_random,p95_absolute_error,5,30.78267788550891,4.738828468495888,26.57279400569026,34.10034284067011,0.0
2005,3,all,5000,historical_density_minus_random,p99_absolute_error,5,67.8655068319479,23.272352772980316,50.19298835911262,86.74943704065349,0.0
2005,3,all,5000,historical_density_minus_random,rmse,5,9.52054598657774,1.6391088856712366,8.346513358262863,10.871424743889289,0.0
2005,3,all,5000,spatial_coverage_minus_random,mae,5,0.43613788438718293,0.5750267999722044,-0.045551270578683044,0.8624293461198729,0.2
2005,3,all,5000,spatial_coverage_minus_random,median_absolute_error,5,0.5173655897864421,0.15335019093098942,0.3797070830992652,0.609052908139887,0.0
2005,3,all,5000,spatial_coverage_minus_random,p95_absolute_error,5,1.0099148638563662,2.135793951584601,-0.7094710908666968,2.651678975188635,0.2
2005,3,all,5000,spatial_coverage_minus_random,p99_absolute_error,5,-0.4423476684296759,10.046843721194262,-8.708743476093526,7.5379913337703925,0.6
2005,3,all,5000,spatial_coverage_minus_random,rmse,5,-1.853043506054331,1.0520949827908255,-2.6823459353210453,-1.023741076787617,1.0
2005,3,spco2_le_threshold,1000,historical_density_minus_random,mae,5,6.116381624729098,1.057767704054869,5.338488170935079,7.01108830588705,0.0
2005,3,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,5,2.8306665994385063,0.44961806463993087,2.490556800673811,3.2058907694252525,0.0
2005,3,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,5,29.505015212713364,11.89662209074069,20.963703423918737,39.58960634786486,0.0
2005,3,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,5,54.410649408879635,23.320570608157905,36.76799337309327,72.82146658852864,0.0
2005,3,spco2_le_threshold,1000,historical_density_minus_random,rmse,5,11.858808615398797,3.167170559737154,9.449590660655565,14.268026570142027,0.0
2005,3,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,5,0.01507292395772275,1.095521451568068,-0.9211820585229458,0.75415881611802,0.4
2005,3,spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,5,0.4274058541511863,0.48042238971452333,0.04951921547244638,0.8052924928299262,0.2
2005,3,spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,5,-0.5699063287773243,3.2893872119445,-3.245475248891202,2.083611320002396,0.6
2005,3,spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,5,-6.016733920857123,14.001643363288858,-18.276641767910803,3.9666458114603445,0.8
2005,3,spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,5,-0.5699800698915155,2.981040520106195,-3.152503785211904,1.509719266504328,0.4
