spatial_block,spatial_fold,lon_block,lat_block,month_grid_rows,longitude_center,latitude_center,longitude_width,latitude_width
10_11,2,10,11,228,30.0,25.0,20.0,10.0
15_11,2,15,11,2292,130.0,25.0,20.0,10.0
3_12,2,3,12,168,-110.0,35.0,20.0,10.0
8_12,2,8,12,1584,-10.0,35.0,20.0,10.0
1_13,2,1,13,2388,-150.0,45.0,20.0,10.0
6_13,2,6,13,2292,-50.0,45.0,20.0,10.0
11_13,2,11,13,504,50.0,45.0,20.0,10.0
16_13,2,16,13,2208,150.0,45.0,20.0,10.0
4_14,2,4,14,768,-90.0,55.0,20.0,10.0
9_14,2,9,14,1236,10.0,55.0,20.0,10.0
2_15,2,2,15,180,-130.0,65.0,20.0,10.0
7_15,2,7,15,1596,-30.0,65.0,20.0,10.0
12_15,2,12,15,96,70.0,65.0,20.0,10.0
17_15,2,17,15,468,170.0,65.0,20.0,10.0
0_16,2,0,16,2076,-170.0,75.0,20.0,10.0
5_16,2,5,16,1560,-70.0,75.0,20.0,10.0
10_16,2,10,16,1932,30.0,75.0,20.0,10.0
15_16,2,15,16,1416,130.0,75.0,20.0,10.0
3_17,2,3,17,816,-110.0,85.0,20.0,10.0
8_17,2,8,17,732,-10.0,85.0,20.0,10.0
13_17,2,13,17,960,90.0,85.0,20.0,10.0
1_1,3,1,1,1608,-150.0,-75.0,20.0,10.0
6_1,3,6,1,1752,-50.0,-75.0,20.0,10.0
4_2,3,4,2,2400,-90.0,-65.0,20.0,10.0
9_2,3,9,2,2400,10.0,-65.0,20.0,10.0
14_2,3,14,2,1584,110.0,-65.0,20.0,10.0
2_3,3,2,3,2400,-130.0,-55.0,20.0,10.0
7_3,3,7,3,2400,-30.0,-55.0,20.0,10.0
12_3,3,12,3,2400,70.0,-55.0,20.0,10.0
17_3,3,17,3,2400,170.0,-55.0,20.0,10.0
0_4,3,0,4,2400,-170.0,-45.0,20.0,10.0
5_4,3,5,4,1392,-70.0,-45.0,20.0,10.0
10_4,3,10,4,2400,30.0,-45.0,20.0,10.0
15_4,3,15,4,2400,130.0,-45.0,20.0,10.0
3_5,3,3,5,2400,-110.0,-35.0,20.0,10.0
8_5,3,8,5,2400,-10.0,-35.0,20.0,10.0
13_5,3,13,5,2400,90.0,-35.0,20.0,10.0
1_6,3,1,6,2400,-150.0,-25.0,20.0,10.0
6_6,3,6,6,732,-50.0,-25.0,20.0,10.0
11_6,3,11,6,2136,50.0,-25.0,20.0,10.0
16_6,3,16,6,1008,150.0,-25.0,20.0,10.0
4_7,3,4,7,2400,-90.0,-15.0,20.0,10.0
9_7,3,9,7,1536,10.0,-15.0,20.0,10.0
14_7,3,14,7,2400,110.0,-15.0,20.0,10.0
2_8,3,2,8,2400,-130.0,-5.0,20.0,10.0
7_8,3,7,8,2100,-30.0,-5.0,20.0,10.0
12_8,3,12,8,2400,70.0,-5.0,20.0,10.0
17_8,3,17,8,2400,170.0,-5.0,20.0,10.0
0_9,3,0,9,2400,-170.0,5.0,20.0,10.0
5_9,3,5,9,288,-70.0,5.0,20.0,10.0
10_9,3,10,9,24,30.0,5.0,20.0,10.0
15_9,3,15,9,2268,130.0,5.0,20.0,10.0
3_10,3,3,10,2268,-110.0,15.0,20.0,10.0
8_10,3,8,10,468,-10.0,15.0,20.0,10.0
13_10,3,13,10,1800,90.0,15.0,20.0,10.0
1_11,3,1,11,2400,-150.0,25.0,20.0,10.0
6_11,3,6,11,2400,-50.0,25.0,20.0,10.0
11_11,3,11,11,396,50.0,25.0,20.0,10.0
16_11,3,16,11,2400,150.0,25.0,20.0,10.0
4_12,3,4,12,60,-90.0,35.0,20.0,10.0
9_12,3,9,12,1368,10.0,35.0,20.0,10.0
14_12,3,14,12,60,110.0,35.0,20.0,10.0
2_13,3,2,13,1884,-130.0,45.0,20.0,10.0
7_13,3,7,13,2400,-30.0,45.0,20.0,10.0
17_13,3,17,13,2400,170.0,45.0,20.0,10.0
0_14,3,0,14,2280,-170.0,55.0,20.0,10.0
5_14,3,5,14,492,-70.0,55.0,20.0,10.0
10_14,3,10,14,228,30.0,55.0,20.0,10.0
15_14,3,15,14,132,130.0,55.0,20.0,10.0
3_15,3,3,15,132,-110.0,65.0,20.0,10.0
8_15,3,8,15,1968,-10.0,65.0,20.0,10.0
1_16,3,1,16,1992,-150.0,75.0,20.0,10.0
6_16,3,6,16,288,-50.0,75.0,20.0,10.0
11_16,3,11,16,2040,50.0,75.0,20.0,10.0
16_16,3,16,16,1476,150.0,75.0,20.0,10.0
4_17,3,4,17,792,-90.0,85.0,20.0,10.0
9_17,3,9,17,900,10.0,85.0,20.0,10.0
14_17,3,14,17,936,110.0,85.0,20.0,10.0
2_1,4,2,1,1104,-130.0,-75.0,20.0,10.0
7_1,4,7,1,1572,-30.0,-75.0,20.0,10.0
17_1,4,17,1,1488,170.0,-75.0,20.0,10.0
0_2,4,0,2,2400,-170.0,-65.0,20.0,10.0
5_2,4,5,2,2088,-70.0,-65.0,20.0,10.0
10_2,4,10,2,2340,30.0,-65.0,20.0,10.0
15_2,4,15,2,1656,130.0,-65.0,20.0,10.0
3_3,4,3,3,2400,-110.0,-55.0,20.0,10.0
8_3,4,8,3,2400,-10.0,-55.0,20.0,10.0
13_3,4,13,3,2400,90.0,-55.0,20.0,10.0
1_4,4,1,4,2400,-150.0,-45.0,20.0,10.0
6_4,4,6,4,2400,-50.0,-45.0,20.0,10.0
11_4,4,11,4,2400,50.0,-45.0,20.0,10.0
16_4,4,16,4,2328,150.0,-45.0,20.0,10.0
4_5,4,4,5,2400,-90.0,-35.0,20.0,10.0
9_5,4,9,5,2304,10.0,-35.0,20.0,10.0
14_5,4,14,5,2160,110.0,-35.0,20.0,10.0
2_6,4,2,6,2400,-130.0,-25.0,20.0,10.0
7_6,4,7,6,2400,-30.0,-25.0,20.0,10.0
12_6,4,12,6,2400,70.0,-25.0,20.0,10.0
17_6,4,17,6,2400,170.0,-25.0,20.0,10.0
0_7,4,0,7,2400,-170.0,-15.0,20.0,10.0
5_7,4,5,7,720,-70.0,-15.0,20.0,10.0
10_7,4,10,7,156,30.0,-15.0,20.0,10.0
15_7,4,15,7,1212,130.0,-15.0,20.0,10.0
3_8,4,3,8,2400,-110.0,-5.0,20.0,10.0
8_8,4,8,8,2400,-10.0,-5.0,20.0,10.0
13_8,4,13,8,2400,90.0,-5.0,20.0,10.0
1_9,4,1,9,2400,-150.0,5.0,20.0,10.0
6_9,4,6,9,1776,-50.0,5.0,20.0,10.0
11_9,4,11,9,1512,50.0,5.0,20.0,10.0
16_9,4,16,9,2400,150.0,5.0,20.0,10.0
4_10,4,4,10,1644,-90.0,15.0,20.0,10.0
14_10,4,14,10,1548,110.0,15.0,20.0,10.0
2_11,4,2,11,2400,-130.0,25.0,20.0,10.0
7_11,4,7,11,2400,-30.0,25.0,20.0,10.0
12_11,4,12,11,684,70.0,25.0,20.0,10.0
17_11,4,17,11,2400,170.0,25.0,20.0,10.0
0_12,4,0,12,2400,-170.0,35.0,20.0,10.0
5_12,4,5,12,2100,-70.0,35.0,20.0,10.0
10_12,4,10,12,1236,30.0,35.0,20.0,10.0
15_12,4,15,12,1968,130.0,35.0,20.0,10.0
8_13,4,8,13,1908,-10.0,45.0,20.0,10.0
1_14,4,1,14,2232,-150.0,55.0,20.0,10.0
