year,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
2005,all,spatial_coverage,5000,0,390000,97488,97488,24.054683049596118,11.185532961311965,-0.3147399452725845,7.5696833475986125,31.211017104599932,60.80832711365454,0.7097417817123023,0.8431828128048292
2005,spco2_le_threshold,spatial_coverage,5000,0,390000,97488,97474,18.610775886474798,11.039949444796905,-0.16759507801553694,7.568563328093234,31.187626244014094,60.481386924113544,0.7903709641184474,0.8890590866719109
2005,all,random,500,1,390000,97488,97488,31.863868577730685,15.948303403246847,-2.394961790629927,10.445474228910967,46.363825375582884,93.8087676417685,0.4906899434633054,0.7025807112541501
2005,spco2_le_threshold,random,500,1,390000,97488,97474,25.66143130339111,15.76121731375147,-2.2059290611836246,10.443715376998796,46.27607478767815,93.10981484991056,0.6014486995575401,0.7775514405790726
2005,all,random,1000,1,390000,97488,97488,29.522041659336097,13.596147568359608,-0.5702156573514804,8.744891597151309,39.05395090956194,84.41048624394614,0.5628021427611081,0.7503103098704028
2005,spco2_le_threshold,random,1000,1,390000,97488,97474,22.70338222452009,13.40946822059429,-0.38166542045927493,8.742526577030816,39.028665541811,83.77914222251312,0.6880366323446752,0.8295470983986281
2005,all,random,2500,1,390000,97488,97488,26.724725013098112,11.22575420856379,-0.47088019898048705,7.323542128443108,31.878567019698295,66.03740468033807,0.6417289325924023,0.8018600700698161
2005,spco2_le_threshold,random,2500,1,390000,97488,97474,18.96028556702087,11.039286002015416,-0.28286729091033014,7.322512093871353,31.7928150200806,65.82783622306057,0.7824233796513271,0.8855734484721962
2005,all,random,5000,1,390000,97488,97488,25.43076209136906,10.150775611517124,-0.3688723211802269,6.767828782535901,28.19932168625986,57.81903973716497,0.6755827061521944,0.8231696514334325
2005,spco2_le_threshold,random,5000,1,390000,97488,97474,17.243194135178317,9.96580185198299,-0.18249360600597458,6.766775784043148,28.169927773084446,57.513019335690174,0.8200474878126922,0.9070423884956582
2005,all,historical_density,500,1,390000,97488,97488,44.92420597112996,23.5263434600041,-7.058798832834929,14.01381902098521,86.77208191260405,162.70431165399984,-0.012385850770178175,0.5182890015803597
