year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,2,historical_density,1000,17,10,107,0.107,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,17,11,106,0.106,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,17,12,82,0.082,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,1,445,0.089,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,2,427,0.0854,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,3,398,0.0796,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,4,339,0.0678,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,5,425,0.085,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,6,392,0.0784,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,7,369,0.0738,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,8,375,0.075,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,9,392,0.0784,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,10,488,0.0976,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,11,523,0.1046,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,17,12,427,0.0854,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,1,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,2,91,0.091,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,3,86,0.086,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,4,79,0.079,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,5,84,0.084,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,6,73,0.073,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,7,72,0.072,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,8,86,0.086,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,9,75,0.075,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,10,86,0.086,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,11,84,0.084,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,17,12,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,1,439,0.0878,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,2,427,0.0854,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,3,411,0.0822,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,4,437,0.0874,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,5,414,0.0828,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,6,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,7,398,0.0796,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,8,418,0.0836,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,9,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,10,405,0.081,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,11,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,17,12,400,0.08,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,1,79,0.079,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,2,75,0.075,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,3,87,0.087,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,4,80,0.08,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,5,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,6,85,0.085,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,7,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,8,81,0.081,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,9,78,0.078,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,10,85,0.085,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,11,82,0.082,0.08333333333333333,0.08333333333333333
2005,2,random,1000,18,12,84,0.084,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,1,400,0.08,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,2,402,0.0804,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,3,429,0.0858,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,4,411,0.0822,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,5,415,0.083,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,6,451,0.0902,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,7,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,8,414,0.0828,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,9,394,0.0788,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,10,413,0.0826,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,11,446,0.0892,0.08333333333333333,0.08333333333333333
2005,2,random,5000,18,12,408,0.0816,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,1,93,0.093,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,2,73,0.073,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,3,72,0.072,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,4,64,0.064,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,5,85,0.085,0.08333333333333333,0.08333333333333333
