validation_scheme,year,spatial_fold,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,14,390000,97488,35.04701312873838,15.181335379315655,-4.6633344257479,8.20079629371125,54.48218187893704,116.01571780580656,0.3838488409341768,0.6675254136131569
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,15,390000,97488,35.065931681309124,14.948998763172115,-4.242786930350111,8.026812857449244,53.10388006744848,118.00119351728064,0.3831834584537534,0.6649230635843167
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,16,390000,97488,36.1035062654978,15.723154256503904,-4.943080511495991,8.440618870844503,54.79067710997823,129.56976073965538,0.3461411445005399,0.654424101682955
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,17,390000,97488,33.95485631593315,14.650791932827165,-3.678186740499239,8.176311266055848,49.07971054883262,111.24818594803013,0.4216522619963119,0.6823977760027405
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,18,390000,97488,37.372430511673485,16.068775695871093,-5.200670474109325,8.261698098632223,58.87130416092473,133.42825092495306,0.2993712839656288,0.6392884614145817
month_stratified_hidden_cells,2005,,all,historical_spatial_month_balanced,5000,19,390000,97488,36.993439703212566,15.61260971749886,-5.139813113603615,8.075190009760576,57.25227382613446,128.25700821306762,0.3135092713205846,0.6436526030542759
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,0,391248,96240,34.35356994607074,17.576881841532344,-4.149631570183726,9.56143974479238,58.73660148267124,142.05807459543266,0.3671346704616091,0.6718114821272195
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,1,391248,96240,32.79597185056003,17.007517555042416,-4.410098845583543,9.444932164454912,58.18854507409593,133.3944385206012,0.4232221618655755,0.6959426441087979
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,2,391248,96240,31.622992874962534,16.204202358641727,-3.065121538647801,9.175844460343455,52.58718401816933,138.61489800739736,0.463742356600894,0.707067279749898
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,3,391248,96240,31.54441568503697,16.403318328524357,-4.497820595579731,9.519856861921028,53.51135357724633,127.82504994231913,0.4664040443691593,0.7196491053567726
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,4,391248,96240,33.87549487625082,17.370911982258416,-4.775806591615157,9.4953163394556,64.48107404272936,138.03199319488053,0.3846264127756834,0.6882094714071978
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,5,391248,96240,34.52354463026596,17.286521866324033,-2.901311615736226,9.606575327463332,55.38398653751739,153.50150958723842,0.3608565919420331,0.665376431875872
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,6,391248,96240,34.526866210131466,17.750132381205574,-5.294936655155195,9.626694496902758,63.16345694923852,145.13301301073054,0.3607335994726601,0.6748753984223106
whole_spatial_blocks,2005,0.0,all,historical_spatial_month_balanced,5000,7,391248,96240,33.4564039706667,17.16329868125517,-3.800122926171195,9.948479402475355,57.11177857762228,141.80311661576667,0.399758423967788,0.6888472588574015
