validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,median_absolute_error,20,7.6451385279193556,9.981098711120536,2.3359601832011805,30.55484442394948
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,p95_absolute_error,20,35.419133739601946,59.25786035469848,23.838726615096533,67.3046573932512
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,p99_absolute_error,20,78.28856967436055,129.8417586115806,51.55318893722004,65.85021178909554
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,bias,20,0.0630293806697832,-4.120829208028683,-4.183858588698466,
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,rmse,20,29.573606522625887,28.476349173853357,-1.09725734877253,-3.7102588347926075
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,mae,20,12.278641193809255,12.674789917264773,0.3961487234555179,3.2263238024680723
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,median_absolute_error,20,7.6451385279193556,8.295413945052816,0.6502754171334608,8.50573753188008
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,p95_absolute_error,20,35.419133739601946,35.96501771211919,0.5458839725172453,1.5412120932446614
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,p99_absolute_error,20,78.28856967436055,72.38744081960465,-5.901128854755896,-7.5376633898173155
month_stratified_hidden_cells,2010,,2500,spatial_coverage_minus_random,bias,20,0.0630293806697832,0.22950074616712737,0.16647136549734418,
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,rmse,20,27.607048007991427,37.555325789589396,9.94827778159797,36.03528265216273
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,mae,20,11.039887373868492,16.430125416159676,5.390238042291184,48.82511804468154
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,median_absolute_error,20,7.0876070473094135,9.01267201576135,1.9250649684519363,27.161000258651846
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,p95_absolute_error,20,31.12969281602932,54.82254954613602,23.692856730106698,76.11015267682552
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,p99_absolute_error,20,66.47152963103716,137.04944582376692,70.57791619272976,106.17766220287976
month_stratified_hidden_cells,2010,,5000,historical_density_minus_random,bias,20,-0.02366751658634337,-4.109266349262609,-4.085598832676266,
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,rmse,20,27.607048007991427,26.518729344253376,-1.0883186637380504,-3.9421768796975836
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,mae,20,11.039887373868492,11.657324644711418,0.6174372708429257,5.5927859581648
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,median_absolute_error,20,7.0876070473094135,7.864336747721294,0.7767297004118809,10.958983691212705
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,p95_absolute_error,20,31.12969281602932,32.31549609477544,1.1858032787461212,3.8092354002784337
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,p99_absolute_error,20,66.47152963103716,62.264899848693254,-4.206629782343903,-6.328468452123187
month_stratified_hidden_cells,2010,,5000,spatial_coverage_minus_random,bias,20,-0.02366751658634337,0.04949258579855963,0.073160102384903,
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,rmse,20,31.316173127839154,38.31932032551986,7.003147197680708,22.362717082615426
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,mae,20,17.394044123143633,22.219730768878918,4.825686645735285,27.743327610135648
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,median_absolute_error,20,11.484090581026303,14.61993642968173,3.1358458486554266,27.306000649597667
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,p95_absolute_error,20,51.07466458081532,68.78978239745165,17.715117816636322,34.684746267115926
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,p99_absolute_error,20,98.50466487631182,125.4980036410104,26.993338764698578,27.40310704938998
month_stratified_hidden_cells,2014,,500,historical_density_minus_random,bias,20,0.21479286584198115,-3.5347162949430198,-3.749509160785001,
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,rmse,20,31.316173127839154,31.674465755919908,0.3582926280807541,1.1441137032233435
