domain,weighting,response,coverage_group,n_cells,cell_fraction_of_domain,weight_fraction_of_domain,weight_fraction_of_global,group_mean_signed_error,contribution_to_domain_mean,contribution_to_global_mean
south_of_60n,spherical_cell_area,signed_error_historical_density,all,33822,1.0,1.0,0.9618575717087817,-0.4552589932432919,-0.4552589932432919,-0.4378943097395774
south_of_60n,spherical_cell_area,signed_error_historical_density,zero_density,16611,0.49113003370587194,0.47981861447062657,0.461517167375389,-1.1646539806953762,-0.5588226593549553,-0.537507806143001
south_of_60n,spherical_cell_area,signed_error_historical_density,positive_density,17211,0.5088699662941281,0.5201813855293733,0.5003404043333927,0.1990914496224612,0.1035636661116633,0.09961349640342351
south_of_60n,spherical_cell_area,signed_error_historical_spatial_month_balanced,all,33822,1.0,1.0,0.9618575717087817,-0.20217388360472877,-0.20217388360472877,-0.19446248074697828
south_of_60n,spherical_cell_area,signed_error_historical_spatial_month_balanced,zero_density,16611,0.49113003370587194,0.47981861447062657,0.461517167375389,-0.6086003358715733,-0.29201776992425627,-0.28087950307515885
south_of_60n,spherical_cell_area,signed_error_historical_spatial_month_balanced,positive_density,17211,0.5088699662941281,0.5201813855293733,0.5003404043333927,0.1727164577949981,0.08984388631952767,0.0864170223281807
60_to_90n,equal_cell,signed_error_historical_density,all,4098,1.0,1.0,0.10806962025316456,-42.00965460714952,-42.00965460714952,-4.539967420361253
60_to_90n,equal_cell,signed_error_historical_density,zero_density,3549,0.8660322108345534,0.8660322108345534,0.09359177215189873,-47.55955698402957,-41.188108281191056,-4.451183220894539
60_to_90n,equal_cell,signed_error_historical_density,positive_density,549,0.13396778916544655,0.13396778916544655,0.014477848101265824,-6.132416837482301,-0.8215463259584634,-0.08878419946671369
60_to_90n,equal_cell,signed_error_historical_spatial_month_balanced,all,4098,1.0,1.0,0.10806962025316456,-36.6553329867693,-36.6553329867693,-3.961327916133455
60_to_90n,equal_cell,signed_error_historical_spatial_month_balanced,zero_density,3549,0.8660322108345534,0.8660322108345534,0.09359177215189873,-42.008376633524506,-36.380607289501825,-3.931638414355972
60_to_90n,equal_cell,signed_error_historical_spatial_month_balanced,positive_density,549,0.13396778916544655,0.13396778916544655,0.014477848101265824,-2.0506847129365173,-0.27472569726748364,-0.029689501777482807
60_to_90n,spherical_cell_area,signed_error_historical_density,all,4098,1.0,1.0,0.03814242829121833,-36.5863606783686,-36.5863606783686,-1.3954926386113244
60_to_90n,spherical_cell_area,signed_error_historical_density,zero_density,3549,0.8660322108345534,0.8116212715493188,0.030957206149697335,-43.79677193558305,-35.546391728113434,-1.3558256975011234
60_to_90n,spherical_cell_area,signed_error_historical_density,positive_density,549,0.13396778916544655,0.18837872845068113,0.007185222141520995,-5.520628357609078,-1.03996895025517,-0.039666941110201435
60_to_90n,spherical_cell_area,signed_error_historical_spatial_month_balanced,all,4098,1.0,1.0,0.03814242829121833,-33.44493865115195,-33.44493865115195,-1.2756711742057596
60_to_90n,spherical_cell_area,signed_error_historical_spatial_month_balanced,zero_density,3549,0.8660322108345534,0.8116212715493188,0.030957206149697335,-40.69376697953154,-33.02792690005907,-1.259765333393104
60_to_90n,spherical_cell_area,signed_error_historical_spatial_month_balanced,positive_density,549,0.13396778916544655,0.18837872845068113,0.007185222141520995,-2.213688108644694,-0.4170117510928807,-0.01590584081265559
