year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,12,historical_density_minus_random,median_absolute_error,3.8583132791264063
2005,all,500,12,historical_density_minus_random,p95_absolute_error,26.046752075442996
2005,all,500,12,historical_density_minus_random,p99_absolute_error,42.767617074353495
2005,all,500,13,spatial_coverage_minus_random,rmse,1.578363586388427
2005,all,500,13,spatial_coverage_minus_random,mae,1.212677535178873
2005,all,500,13,spatial_coverage_minus_random,median_absolute_error,0.9346855694760166
2005,all,500,13,spatial_coverage_minus_random,p95_absolute_error,0.028219116401857036
2005,all,500,13,spatial_coverage_minus_random,p99_absolute_error,15.7042937543507
2005,all,500,13,historical_density_minus_random,rmse,6.5503073037243595
2005,all,500,13,historical_density_minus_random,mae,4.533975084513223
2005,all,500,13,historical_density_minus_random,median_absolute_error,3.1879135375120313
2005,all,500,13,historical_density_minus_random,p95_absolute_error,12.329177642499047
2005,all,500,13,historical_density_minus_random,p99_absolute_error,19.90591137601308
2005,all,500,14,spatial_coverage_minus_random,rmse,1.0894562813431286
2005,all,500,14,spatial_coverage_minus_random,mae,1.0612767901540785
2005,all,500,14,spatial_coverage_minus_random,median_absolute_error,0.2928147168135524
2005,all,500,14,spatial_coverage_minus_random,p95_absolute_error,4.0973850320482015
2005,all,500,14,spatial_coverage_minus_random,p99_absolute_error,15.09163200589181
2005,all,500,14,historical_density_minus_random,rmse,7.1383043915840965
2005,all,500,14,historical_density_minus_random,mae,4.7327588675683
2005,all,500,14,historical_density_minus_random,median_absolute_error,2.7227506917333244
2005,all,500,14,historical_density_minus_random,p95_absolute_error,15.13716471202877
2005,all,500,14,historical_density_minus_random,p99_absolute_error,28.336793869026152
2005,all,500,15,spatial_coverage_minus_random,rmse,-2.21899314326253
2005,all,500,15,spatial_coverage_minus_random,mae,-0.06736679275281787
2005,all,500,15,spatial_coverage_minus_random,median_absolute_error,0.5880950656220136
2005,all,500,15,spatial_coverage_minus_random,p95_absolute_error,-3.869587889518108
