latitude,longitude,delta_mae_uatm
-76.5,162.5,-1.3464526032855506
-76.5,163.5,22.42153622496028
-76.5,164.5,-8.39896612858086
-76.5,165.5,22.19599573713122
-76.5,166.5,-2.6415600097301493
-76.5,167.5,3.8889952595543136
-76.5,168.5,35.550289582135846
-76.5,169.5,26.877986349808058
-76.5,170.5,
-76.5,171.5,20.451594795980377
-76.5,172.5,11.6526860295931
-76.5,173.5,3.8680811447654406
-76.5,174.5,-2.560374120713554
-76.5,175.5,25.125271661082007
-76.5,176.5,-3.358890375795756
-76.5,177.5,16.465349398337118
-76.5,178.5,-3.390106181270955
-76.5,179.5,16.34982395781652
-75.5,-179.5,
-75.5,-178.5,
-75.5,-177.5,5.101793308147544
-75.5,-176.5,13.14333940096527
-75.5,-175.5,2.71764829242678
-75.5,-174.5,-7.982927171143155
-75.5,-173.5,0.5217758566768573
-75.5,-172.5,1.0266274383786431
-75.5,-171.5,-5.26464876311839
-75.5,-170.5,13.349335163406025
-75.5,-169.5,22.94472581095897
-75.5,-168.5,9.27503131140496
-75.5,-167.5,0.8552187336422854
-75.5,-166.5,-2.3842109387071044
-75.5,-165.5,-1.7557869143992573
-75.5,-164.5,-1.1270089018628706
-75.5,-163.5,7.474917721120294
-75.5,-162.5,6.250864340595429
-75.5,-161.5,3.485742579583155
-75.5,-160.5,-0.7622768310541463
-75.5,-159.5,1.1081698042907364
-75.5,-158.5,7.887067764661955
-75.5,-157.5,-2.234734808686989
-75.5,-156.5,-4.035811643711067
-75.5,-155.5,3.390469054525245
-75.5,-154.5,2.3196541110829187
-75.5,-153.5,-6.428996533082973
-75.5,-152.5,10.262720132296245
-75.5,-151.5,-0.7700155958612243
-75.5,-150.5,6.412447184914333
-75.5,-149.5,-12.42201130926657
-75.5,-148.5,-2.4023614947721352
-75.5,-147.5,-8.061143435143133
-75.5,-146.5,-10.151359249879732
-75.5,-145.5,-8.406616945860769
-75.5,-144.5,-12.426453567643154
-75.5,-143.5,-11.08678858774131
-75.5,-142.5,-8.614329133555369
-75.5,-141.5,-4.246809150647852
-75.5,-140.5,-20.444101616091334
-75.5,-109.5,-19.8607478124868
-75.5,-108.5,-9.457253035037695
-75.5,-59.5,15.22849360484932
-75.5,-58.5,18.63774336152558
-75.5,-57.5,5.1507500033125275
-75.5,-56.5,13.21753976482896
-75.5,-55.5,12.048025695407471
-75.5,-54.5,33.19745246491892
-75.5,-53.5,10.000388204008708
-75.5,-52.5,7.276886258375281
-75.5,-51.5,8.017588626866154
-75.5,-50.5,18.23641563797156
-75.5,-49.5,20.843097461708965
-75.5,-48.5,11.470715809878667
-75.5,-47.5,20.700036215111616
-75.5,-46.5,6.8009778194810195
-75.5,-45.5,14.182794745877128
-75.5,-44.5,17.325725230242096
-75.5,-43.5,10.951337063231044
-75.5,-42.5,2.4428356223176584
-75.5,-41.5,10.356948920245182
-75.5,-40.5,17.102022479964205
-75.5,-39.5,23.15382980592802
-75.5,-38.5,3.7511365861322243
-75.5,-37.5,6.29201751718217
-75.5,-36.5,12.429674441034187
-75.5,-35.5,7.673476467865118
-75.5,-34.5,7.467546085223809
-75.5,-33.5,9.533266907216063
-75.5,-32.5,21.684100142710697
-75.5,-31.5,35.82058886366416
-75.5,-30.5,13.454655637417556
-75.5,-29.5,18.7746159779617
-75.5,-28.5,23.906949807671744
-75.5,-27.5,30.43434685071152
-75.5,-26.5,16.86539006597008
-75.5,162.5,4.306964056353941
-75.5,163.5,-18.824107526681516
-75.5,164.5,-4.082411306841891
-75.5,165.5,8.238776564990502
-75.5,166.5,-2.356452784879732
-75.5,167.5,0.1907065314651959
-75.5,168.5,8.774730046481132
-75.5,169.5,37.799744736629115
-75.5,170.5,13.393620613205718
-75.5,171.5,20.081573049868393
-75.5,172.5,0.9590303913556486
-75.5,173.5,16.370994229832558
-75.5,174.5,-41.36187937104211
-75.5,175.5,-5.0204974348007045
-75.5,176.5,6.165882870893341
-75.5,177.5,8.600035498512893
-75.5,178.5,-3.7126188287057325
-75.5,179.5,26.76674627307282
-74.5,-179.5,12.696840413155208
-74.5,-178.5,-0.29651313214845576
-74.5,-177.5,13.566484302252647
-74.5,-176.5,1.2641351800413476
-74.5,-175.5,-0.7598632991612089
-74.5,-174.5,-5.571070953023712
-74.5,-173.5,5.478499899334562
-74.5,-172.5,3.5906769837133456
-74.5,-171.5,9.126504810638796
-74.5,-170.5,7.895638932828534
-74.5,-169.5,11.074171940706155
-74.5,-168.5,-0.4920810745081994
-74.5,-167.5,1.5470893866274853
-74.5,-166.5,2.9711981740660622
-74.5,-165.5,-6.7836661478478675
-74.5,-164.5,2.4405685906565013
-74.5,-163.5,-6.728007128357439
-74.5,-162.5,0.1621204867244641
-74.5,-161.5,8.085348678243129
-74.5,-160.5,12.513962637742999
-74.5,-159.5,7.767062976166765
-74.5,-158.5,10.242425093009647
-74.5,-157.5,-0.9430513744198974
-74.5,-156.5,-1.8728810566724219
-74.5,-155.5,0.051153310206562885
-74.5,-154.5,6.113268263137151
-74.5,-153.5,2.648401393837637
-74.5,-152.5,6.14229272198611
-74.5,-151.5,6.644637433414548
-74.5,-150.5,4.644772934574759
-74.5,-149.5,-4.236884915662555
-74.5,-148.5,6.344445955897767
-74.5,-147.5,-0.8791333416012854
-74.5,-146.5,4.255793460194852
-74.5,-145.5,-0.7483255058372933
-74.5,-144.5,-5.248227975943665
-74.5,-143.5,-8.818863841806104
-74.5,-142.5,-5.560584818093973
-74.5,-141.5,-8.21491919428193
-74.5,-140.5,-4.222791050089167
-74.5,-139.5,-16.154301355456944
